"word","definition","example_sentence","difficulty_level","difficulty_name","etymology","language_origin","pronunciation","pronunciation_ipa","pronunciation_tips","common_misspellings","audio_url","source_name","source_url","source_difficulty","source_year","definition_source","etymology_source","pronunciation_source","example_source"
"assizes","A session or inquiry made before a court or jury.","The word ___ is important to understand.","2","Elementary","Etymology uncertain","","","","Remember the double S","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","","Claude"
"associated","To join in or form a league, union, or association.","The word ___ is important to understand.","2","Elementary","Etymology uncertain","","","/əˈsəʊsieɪtɪd/","Remember the double S","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Claude","Dictionary API","Claude"
"association","The act of associating.","The word ___ is important to understand.","4","Advanced","
From , from  (perhaps via ).
Morphologically 
<br>The Philippine sense is a .","","","/əˌsəʊsiˈeɪʃən/","Remember the double S; Ends with '-TION' (sounds like 'shun')","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"assuage","To lessen the intensity of, to mitigate or relieve (hunger, emotion, pain etc.).","The word ___ is important to understand.","2","Elementary","From , from , from , derived from  +  + .","","","/əˈsweɪdʒ/","Remember the double S","[]","","Scripps National Spelling Bee","","Year 2021","2021","Dictionary API","Wiktionary","Dictionary API","Claude"
"assumed","To authenticate by means of belief; to surmise; to suppose to be true, especially without proof","The word ___ is important to understand.","2","Elementary","Etymology uncertain","","","","Remember the double S","[]","https://api.dictionaryapi.dev/media/pronunciations/en/assumed-us.mp3","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","","Claude"
"assumption","The act of assuming, or taking to or upon oneself; the act of taking up or adopting.","The word ___ is important to understand.","4","Advanced","From , from  and . ; see assume.","","","/əˈsʌmp.ʃən/","Remember the double S; Ends with '-TION' (sounds like 'shun')","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"assure","To make sure and secure.","The word ___ is important to understand.","2","Elementary","From  (Modern French ), from  + . Cognate with . .","","","/əˈʃɔː/","Remember the double S","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"astaxanthin","","","4","Advanced","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"asterion","","","2","Elementary","From  + .","","","","","[]","","Scripps National Spelling Bee","","Year 2022","2022","","Wiktionary","",""
"asterisk","The symbol *.","The word ___ is important to understand.","4","Advanced",")''.
|image2 = Dialpad detail on telephone Posttelefon FeTAp 751.JPG
|caption2 = An asterisk key#Noun|key ''(bottom left; )'' on the dialing#Noun|dialing pad#Noun|pad of a telephone#Noun|telephone.
|image3 = Asterisk on the diskos.jpg
|caption3 = An asterisk ''()'' placed on a diskos.
}}


The  is derived from ,<ref></ref> from , from , from <ref>; </ref> (ultimately from ) +  }}. .

 (“something which is of little importance or which is marginal”) refers to the use of an asterisk to denote a fo","","","/ˈæstəɹɪsk/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"asthmatic","A person who suffers from asthma.","The word ___ is important to understand.","4","Advanced",", itself borrowed from , from  (compare ). .","","","/æzˈmætɪk/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"astigmatism","A defect of a lens such that light rays coming from a point do not meet at a focal point so that the image is blurred.","The word ___ is important to understand.","4","Advanced","From  + stem of  + . .","","","/əˈstɪɡmətɪzm̩/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"astilbe","A species, subspecies, cultivar, or specimen of the genus Astilbe.","The word ___ is important to understand.","2","Elementary","From the genus name.","The","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","","Claude"
"astonish","To surprise greatly.","The word ___ is important to understand.","4","Advanced","Probably an alteration (due to words ending in : , , , , , etc.) of earlier , , , from , , variant of ,  prefixed with . However, compare , a rare variant of .","","","/əˈstɒnɪʃ/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"astonishment","The feeling or experience of being astonished; great surprise.","The word ___ is important to understand.","4","Advanced","From .","","","/əˈstɒnɪʃmənt/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"astounding","To astonish, bewilder or dazzle.","The word ___ is important to understand.","4","Advanced","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","","Claude"
"astral","Relating to or resembling the stars; starry.","The word ___ is important to understand.","2","Elementary","From , from , from .","","","/ˈæstɹəl/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"astrayliquid","","","4","Advanced","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"astride","With one’s legs on either side.","The word ___ is important to understand.","2","Elementary","From .","","","/əˈstɹaɪd/","","[]","","Scripps National Spelling Bee","","Year 2023","2023","Dictionary API","Wiktionary","Dictionary API","Claude"
"astringent","A substance which draws tissue together, thus restricting the flow of blood.","The word ___ is important to understand.","4","Advanced","
From , from . Compare .","","","/əˈstɹɪn.dʒənt/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"astrobleme","A pit-like structure created by an impacting meteoroid, asteroid or comet.","The word ___ is important to understand.","4","Advanced","1963, from  ","","","/ˈæs.tɹəʊ.bliːm/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"astrologer","One who studies or practices astrology.","The word ___ is important to understand.","4","Advanced","From , , , formed from  or  + , equivalent to . Ousted imported , borrowed from . .","","","/əˈstrɒl.ə.dʒə(ɹ)/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"astronaut","A member of the crew of a spaceship or other spacecraft that travels beyond Earth's atmosphere, or someone trained to serve that purpose.","The word ___ is important to understand.","4","Advanced","From . Coined from  and .","","","/ˈæstɹəˌnɒt/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"astur","","","1","Beginner","Various etymologies exist:
* From , with influence from .
* From , from .
* Eventually from , from , whence , , , .<ref></ref>","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Wiktionary","",""
"astute","Quickly and critically discerning.","The word ___ is important to understand.","2","Elementary","From , from .","","","/əsˈtjuːt/","","[]","","Scripps National Spelling Bee","","Year 2023","2023","Dictionary API","Wiktionary","Dictionary API","Claude"
"asura","Deities among the Hindu dharma. Considered to be a group of power-seeking deities, sometimes referred to as devas.","The word ___ is important to understand.","1","Beginner","From .","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","","Claude"
"asylee","A non-citizen of a country who has been granted asylum in that country.","The word ___ is important to understand.","2","Elementary","From .","","","","Remember the double E","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","","Claude"
"asyleeatrabilious","","","5","Expert","Etymology uncertain","","","","Remember the double E","[]","","Scripps National Spelling Bee","","Year 2024","2024","","Claude","",""
"asylum","A place of safety.","The word ___ is important to understand.","2","Elementary","From , from .","","","/əˈsaɪləm/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"asymptote","A straight line which a curve approaches arbitrarily closely, as they go to infinity. The limit of the curve, its tangent ""at infinity"".","The word ___ is important to understand.","4","Advanced",", from , the feminine of ' () Ancient Greek adjective , from .","","","/ˈeɪ̯sɪmtoʊ̯t/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"ataxia","Lack of coordination while performing voluntary movements, which may appear to be clumsiness, inaccuracy, or instability.","The word ___ is important to understand.","2","Elementary","
, derived from .","","","/eɪˈtæksɪə/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"ataxiapageantry","","","5","Expert","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2021","2021","","Claude","",""
"aten","","","1","Beginner","From ''ate'' + ''eaten''.","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Wiktionary","",""
"atencatjang","","","3","Intermediate","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2022","2022","","Claude","",""
"athenaeum","A temple primarily dedicated to Athena or her Roman equivalent Minerva, especially that of Athens.","The word ___ is important to understand.","3","Intermediate","From , from , from .","","","/aθɪˈniːəm/","","[]","","Scripps National Spelling Bee","","Year 2023","2023","Dictionary API","Wiktionary","Dictionary API","Claude"
"atheneum","","","3","Intermediate","Borrowed from , from .","","","","","[]","","Scripps National Spelling Bee","","Year 2023","2023","","Wiktionary","",""
"athlete","A participant in a group of sporting activities which includes track and field, road running, cross country running and racewalking.","The word ___ is important to understand.","2","Elementary","
From , from  (and probably also partly from ), from , from , from  or .<ref></ref>","","","/ˈæθ.lit/","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"athletejotted","","","3","Intermediate","Etymology uncertain","","","","Remember the double T","[]","","Scripps National Spelling Bee","","Year 2021","2021","","Claude","",""
"atlas","A bound collection of maps often including tables, illustrations or other text.","The word ___ is important to understand.","1","Beginner","Apparently coined in Latin in this sense by  from the name of the mythological giant . Borrowed from , from .","The","","/ˈætləs/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"atlatl","A spearthrower consisting of a wooden stick with a thong or perpendicularly protruding hook on the rear end that grips a grove or socket on the butt of its accompanying spear (or dart), intended to steady the spear immediately prior to throwing, to increase its potential range when thrown, and to increase its force of penetration of the target.","The word ___ is important to understand.","2","Elementary","From .","","","/ˈatlat(ə)l/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"atmospheric","Of, relating to, produced by, or coming from the atmosphere.","The word ___ is important to understand.","2","Elementary","From .","","","","'PH' makes an 'F' sound","[]","","Scripps National Spelling Bee","","Year 2020","2020","Dictionary API","Wiktionary","","Claude"
"atomic","An atomic operation.","The word ___ is important to understand.","2","Elementary","
From .","","","/əˈtɔm.ɪk/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"atonement","Making amends to restore a damaged relationship; expiation.","The word ___ is important to understand.","4","Advanced","Perhaps from  as translation of w:Medieval Latin|Medieval Latin ;<ref></ref> however, the noun is found earlier than the verb (); and in this light, the proper etymology is .","","","/əˈtoʊnmənt/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"atrabilious","Having an excess of black bile.","The word ___ is important to understand.","4","Advanced","From  ( + ) .","","","/ˌæ.tɹəˈbɪ.li.əs/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"atresia","A condition in which a body orifice or passage in the body is abnormally closed or absent.","The word ___ is important to understand.","2","Elementary","From , from  and .<ref></ref>
","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","","Claude"
"atrium","A central room or space in ancient Roman homes, open to the sky in the middle; a similar space in other buildings.","The word ___ is important to understand.","2","Elementary","From , from .","","","/ˈeɪ.tɹi.əm/","","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Wiktionary","Dictionary API","Claude"
"atrocious","Frightful, evil, cruel, or monstrous.","The word ___ is important to understand.","2","Elementary","From  .","","","/əˈtɹəʊʃəs/","","[]","https://api.dictionaryapi.dev/media/pronunciations/en/atrocious-au.mp3","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Wiktionary","Dictionary API","Claude"
"atrophy","A reduction in the functionality of an organ caused by disease, injury or lack of use.","The word ___ is important to understand.","2","Elementary","Borrowed from , from , from , from , from  + , from . Equivalent to .","","","/ˈæ.tɹə.fi/","'PH' makes an 'F' sound","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"atrophyattempt","","","5","Expert","Etymology uncertain","","","","Remember the double T; 'PH' makes an 'F' sound","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
"attacca","Without any break between the current movement and the next movement of the work.","The word ___ is important to understand.","2","Elementary","From .","","","","Remember the double C, T","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","","Claude"
"attached","To fasten, to join to (literally and figuratively).","The word ___ is important to understand.","4","Advanced","Etymology uncertain","","","/əˈtætʃt/","Remember the double T","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","Dictionary API","Claude"
"attagirl","Used to show encouragement or approval to a girl or woman. Female version of attaboy.","The word ___ is important to understand.","1","Beginner","Variant pronunciation of ""That's the girl!"", a cry of encouragement, especially to children and pet dogs.","","","","Remember the double T","[]","https://api.dictionaryapi.dev/media/pronunciations/en/attagirl-au.mp3","Scripps National Spelling Bee","","Year 2020","2020","Dictionary API","Wiktionary","","Claude"
"attempt","The action of trying at something.","The word ___ is important to understand.","2","Elementary","
Late 14th century, as , from , from , from  + , more correctly ; see .
The noun is from the 1530s, the sense ""an assault on somebody's life, assassination attempt"" (French attentat) is from 1580.","The","","/əˈtɛmpt/","Remember the double T","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"attendee","A person who is in attendance or in the audience of an event.","The word ___ is important to understand.","4","Advanced","From .","","","","Remember the double E, T","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","","Claude"
"attending","To set on fire; kindle.","The word ___ is important to understand.","4","Advanced","From .","","","/əˈtɛndɪŋ/","Remember the double T","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"attention","Mental focus.","The word ___ is important to understand.","3","Intermediate","From , borrowed from , from , past participle ; see attend.","","","/əˈtɛn.ʃən/","Remember the double T; Ends with '-TION' (sounds like 'shun')","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"attitude","The position of the body or way of carrying oneself.","The word ___ is important to understand.","4","Advanced","From , from , from  and , from  and . .","","","/ˈætɪˌtjuːd/","Remember the double T","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"attorney","A lawyer; one who advises or represents others in legal matters as a profession.","The word ___ is important to understand.","3","Intermediate","From , from , past participle of , , , in the sense of ""one appointed or constituted"".<ref>''Oxford English Dictionary'' (1971), p. 553.</ref>","","","/əˈtɜː(ɹ)ni/","Remember the double T","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"attributed","To ascribe (something) to a given cause, reason etc.","The word ___ is important to understand.","4","Advanced","Etymology uncertain","","","","Remember the double T","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","","Claude"
"attributive","(grammar) An attributive word or phrase (see above), contrasted with predicative or substantive.","The word ___ is important to understand.","4","Advanced","From .","","","/ə.ˈtɹɪ.bju.tɪv/","Remember the double T","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"attrition","Wearing or grinding down by friction.","The word ___ is important to understand.","4","Advanced","
15th century, from , , from ,  and its etymon, , from the verb , past participle of , from .<ref></ref><ref></ref> .","The","","[əˈtɹɪʃən]","Remember the double T; Ends with '-TION' (sounds like 'shun')","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"aubergine","An Asian plant, Solanum melongena, cultivated for its edible purple, green, or white ovoid fruit","The word ___ is important to understand.","4","Advanced","
, from , from , from , from , from , from , ultimately from . Cognate with , . .","","","/ˈəʊ.bə.ʒiːn/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"auburn","A dark reddish-brown colour, often used to describe hair colour.","The word ___ is important to understand.","2","Elementary","Early Modern English ''auburn'' (“brown, reddish brown”) from , , , , alteration (due to conflation with ) of earlier  from ,  from , from . More at , .","","","/ˈɔ.bɚn/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"auction","A public event where goods or property are sold to the highest bidder.","The word ___ is important to understand.","2","Elementary","
From , from .","","","/ˈɒkʃən/","Ends with '-TION' (sounds like 'shun')","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"audacious","Showing willingness to take bold risks; recklessly daring.","The word ___ is important to understand.","2","Elementary","From , from , from .","","","/ɔːˈdeɪʃəs/","","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Wiktionary","Dictionary API","Claude"
"audience","A group of people within hearing; specifically, a large gathering of people listening to or watching a performance, speech, etc.","The word ___ is important to understand.","1","Beginner","From , from , from , from , from present participle , from verb . .","Present","","/ˈɔːdi.əns/","Remember: 'I before E'","[]","","Scripps National Spelling Bee","","Year 2020","2020","Dictionary API","Wiktionary","Dictionary API","Claude"
"audiences","A group of people within hearing; specifically, a large gathering of people listening to or watching a performance, speech, etc.","The word ___ is important to understand.","1","Beginner","Etymology uncertain","","","","Remember: 'I before E'","[]","","Scripps National Spelling Bee","","Year 2020","2020","Dictionary API","Claude","","Claude"
"audio","A sound, or a sound signal","The word ___ is important to understand.","1","Beginner","
. Cognates include  and  whence .","","","/ˈɔː.di.əʊ/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"auditorium","A large room for public meetings or performances.","The word ___ is important to understand.","4","Advanced","Borrowed from , from . Equivalent to .","","","/ɔː.dɪˈtɔː.ɹɪ.əm/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"aughts","The first decade of a century, such as 1900 to 1909 or 2000 to 2009, whose digit in the tens place is zero; the oughts, the noughties.","The word ___ is important to understand.","2","Elementary","From the sense of ''aught'' to refer to the number zero.","The","","/ɒːts/","Watch for the silent 'GH'","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"aughtsaugment","","","4","Advanced","Contains Latin suffix '-ment' meaning 'result or means'","","","","Watch for the silent 'GH'","[]","","Scripps National Spelling Bee","","Year 2024","2024","","Claude","",""
"augment","(grammar) In some Indo-European languages, a prefix e- (a- in Sanskrit) indicating a past tense of a verb.","The word ___ is important to understand.","2","Elementary","
<!--(verb)-->From , from , from , from , from , from .","","","/ɔːɡˈmɛnt/","","[]","https://api.dictionaryapi.dev/media/pronunciations/en/augment-au.mp3","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"auklet","Any of several small seabirds in the genera Aethia, Cerorhinca and Ptychoramphus of the auk family Alcidae.","The word ___ is important to understand.","2","Elementary","From .","","","/ˈɔːklət/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"aura","Distinctive atmosphere or quality associated with something.","The word ___ is important to understand.","1","Beginner","

Borrowed from , from , from . . The slang sense originated in the early 2020s and was popularized on TikTok around May 2024.<ref>. Retrieved 6 June 2024.</ref>","Sense","","/ˈɔːɹə/","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"aureole","A circle of light or halo around the head of a deity or a saint.","The word ___ is important to understand.","2","Elementary","From , from , from  () (). .","","","/ˈɔːriːəʊl/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"auricular","The outermost and smallest finger of the hand.","The word ___ is important to understand.","4","Advanced","Late , borrowed from , from ; equivalent to . .

The finger is so called because it can be readily introduced into the ear passage.","","","/ɔˈɹɪkjəlɚ/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"aurora","An atmospheric phenomenon created by charged particles from the sun striking the upper atmosphere, creating coloured lights in the sky. It is usually named australis or borealis based on whether it is in the Southern or Northern Hemisphere respectively.","The word ___ is important to understand.","2","Elementary","
From . .","","","/ɔːˈɹɔː.ɹə/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"auspices","(chiefly in the plural) Patronage or protection.","The word ___ is important to understand.","4","Advanced","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","","Claude"
"austere","Grim or severe in manner or appearance","The word ___ is important to understand.","2","Elementary","From , having the specific meaning “making the tongue dry” (originally used of fruits, wines), related to , .","","","/ɒstɪə(ɹ)/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"australian","","","3","Intermediate","From , after .","","","","","[]","","Scripps National Spelling Bee","","Year 2024","2024","","Wiktionary","",""
"auteur","A creative artist, especially a film director, seen as having a specific, recognisable artistic vision, and who is seen as the single or preeminent ‘author’ of his works.","The word ___ is important to understand.","2","Elementary","
Borrowed from . Popularised by  in the 1954 essay “Une certaine tendance du cinéma français” (“A certain tendency in French cinema”) in the influential film journal '''' as the phrase “la politique des Auteurs”. .","","","/ɔːˈtɜː/","","[]","","Scripps National Spelling Bee","","Year 2021","2021","Dictionary API","Wiktionary","Dictionary API","Claude"
"authenticate","Of the same origin as claimed; genuine.","The word ___ is important to understand.","3","Intermediate","Etymology uncertain","","","/ɔ.ˈθɛn.tɪ.keɪt/","","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Claude","Dictionary API","Claude"
"authenticatefiscal","","","5","Expert","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2021","2021","","Claude","",""
"authority","The power to enforce rules or give orders.","The word ___ is important to understand.","4","Advanced","From , , from , from  stem of , from . For the presence of the ''h'', compare the etymology of .","","","/ɔːˈθɒɹəti/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"autism","A pervasive neurological disorder that is observable in early childhood and persists throughout the lifespan, characterised by atypical communication, language development, eye contact, and sensory experiences.","The word ___ is important to understand.","2","Elementary",", , first usage dated to 1907 attributed by  as an alternative of his for ""auto-erotism"",<ref></ref> although Bleuler himself differentiates the terms in his book ''Dementia Praecox'', first published 1911.<ref></ref> From  + .<ref></ref>","","","/ˈɔːtɪzəm/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"autodidact","A self-taught person.","The word ___ is important to understand.","2","Elementary","From , from  + . .","","","/ˌɔːtoʊˈdaɪdækt/","","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Wiktionary","Dictionary API","Claude"
"autographs","A person’s own handwriting, especially the signature of a famous or admired person.","The word ___ is important to understand.","1","Beginner","Contains Greek root 'graph' meaning 'to write'","","","","'PH' makes an 'F' sound","[]","","Scripps National Spelling Bee","","Year 2020","2020","Dictionary API","Claude","","Claude"
"autophagy","The process of self-digestion by a cell through the action of enzymes originating within the same cell. Often a defensive and/or self-preservation measure.","The word ___ is important to understand.","2","Elementary","From .","","","","'PH' makes an 'F' sound","[]","","Scripps National Spelling Bee","","Year 2021","2021","Dictionary API","Wiktionary","","Claude"
"available","Such as one may avail oneself of; capable of being used for the accomplishment of a purpose.","The word ___ is important to understand.","4","Advanced","From , , , equivalent of .","","","/əˈveɪləb(ə)l/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"avalanche","A large mass or body of snow and ice sliding swiftly down a mountain side, or falling down a precipice.","The word ___ is important to understand.","4","Advanced","From , from  (Savoy) , blend of  and standard , from  (compare , ), of uncertain origin, perhaps an alteration of  (compare Franco-Provençal (Dauphiné) , ), from , from .","Uncertain","","/ˈævəlɑːnʃ/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"avalon","","","2","Elementary","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2022","2022","","Claude","",""
"avarice","Excessive or inordinate desire of gain; greed for wealth","The word ___ is important to understand.","2","Elementary","
From , from , from , from .","","","/ˈævəɹəs/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"avatar","The incarnation of a deity, particularly Vishnu.","The word ___ is important to understand.","2","Elementary","

First use appears c. 1784,<ref name=""oetyld""/> in ''The Hindu Wife; or, The Enchanted Fruit,'' by William Jones. Borrowed from   / , from , a compound of  and the vṛddhi-stem of the root . In the computing sense, some use appeared in video games in the 1980s, such as the online roleplaying game ''w:Habitat (video game)|Habitat'' (1985) by Lucasfilm Games (today ), by  and ,<ref name=""Morabito"">Morabito, Margaret. ""Enter the Online World of LucasFilm."" Run Aug. 1986: 24-28</ref> later versions ","","","/ˈæv.ə.tɑː/","","[]","https://api.dictionaryapi.dev/media/pronunciations/en/avatar-au.mp3","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"avens","A plant of the genus Geum, especially Geum urbanum, or herb bennet.","The word ___ is important to understand.","1","Beginner","From , from , , from .","","","/ˈævɪnz/","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"avenue","A broad street, especially one bordered by trees.","The word ___ is important to understand.","2","Elementary",", from , feminine past participle of , from }}.","","","/ˈæv.əˌnjuː/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"aversion","Opposition or repugnance of mind; fixed dislike.","The word ___ is important to understand.","2","Elementary",". .","","","/əˈvɜːʃn/","Ends with '-SION' (sounds like 'zhun')","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Wiktionary","Dictionary API","Claude"
"avgolemono","","","4","Advanced","From , from  + .","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Wiktionary","",""
"aviation","The art or science of making and flying aircraft.","The word ___ is important to understand.","4","Advanced","
, .<ref name=""AHD-aviation""></ref> .","","","/eɪviˈeɪʃən/","Ends with '-TION' (sounds like 'shun')","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"avifauna","The birds, or all the kinds of birds, inhabiting a region.","The word ___ is important to understand.","4","Advanced","From , from  + New Latin , from .","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","","Claude"
"avoid","To try not to meet or communicate with (a person); to shun","The word ___ is important to understand.","1","Beginner","From , from , , from  + , from  < , ultimately related to . Displaced native .","","","/əˈvɔɪd/","","[]","","Scripps National Spelling Bee","","Year 2020","2020","Dictionary API","Wiktionary","Dictionary API","Claude"
"avuncular","In the manner of an uncle, pertaining to an uncle.","The word ___ is important to understand.","4","Advanced","From .","","","/əˈvʌŋkjʊlə/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"avversiera","","","4","Advanced","Etymology uncertain","","","","Remember the double V; Remember: 'I before E'","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Claude","",""
