word,years,source_files,source_difficulties,pronunciation,definition,etymology,memory_tip,example_sentence,definition_source,pronunciation_source,example_sentence_source,etymology_source,memory_tip_source,phonetic_transparency_score,word_frequency_score,morphological_complexity_score,etymology_complexity_score,difficulty,combined_word_error
opinionated,2020; 2021; 2022; 2023,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,One Bee; Two Bee,/əˈpɪnjəˌneɪtɪd/,"Opinionated describes someone who holds strong, definite opinions and expresses them frequently and assertively, often with little willingness to consider alternative viewpoints or change their position based on new information. While having opinions is natural and healthy, being opinionated typically implies a tendency toward inflexibility, stubbornness, or excessive confidence in one's own judgments. Opinionated individuals may be perceived as dogmatic, argumentative, or close-minded when they consistently resist considering evidence that contradicts their established beliefs. The trait can manifest in various contexts, from political discussions and social issues to professional decisions and personal preferences. However, being opinionated isn't always negative - it can indicate strong convictions, clear thinking, and the courage to take stands on important issues. The key distinction often lies in whether the person remains open to reasoned discussion and new evidence, or whether they shut down dialogue and refuse to acknowledge any validity in opposing views. In professional settings, opinionated employees might contribute valuable insights and decisive leadership, but they may also create conflicts or stifle collaborative decision-making. Understanding how to express strong opinions while remaining open to dialogue is an important social and professional skill.","From ""opinion"" (from Latin opinio meaning ""belief, judgment"") + ""-ated"" suffix indicating having a quality.","Think ""opinion-ated"" - someone who is heavily loaded with opinions and expresses them strongly.",The _____ critic was known for his harsh reviews and unwillingness to reconsider his initial judgments.,Claude,Claude,Claude,Claude,Claude,1.0,4.0,1.5,1.8,,False
oppidan,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,/ˈɑpɪdən/,"Oppidan is an adjective meaning ""of or relating to a town or city,"" describing urban characteristics, inhabitants, or culture as distinguished from rural or countryside elements. The term can refer to people who live in towns, urban customs and practices, or anything characteristic of city life and municipal environments. In historical contexts, oppidan might describe the contrast between town-dwelling merchants, craftspeople, and professionals versus rural agricultural populations, highlighting different lifestyles, economic activities, and social structures. The word appears in academic and literary contexts when discussing urban development, social history, or the relationship between urban and rural communities. Oppidan culture typically involves higher population density, more diverse economic activities, greater social stratification, and more complex governance structures than rural areas. The term can also describe the particular attitudes, behaviors, and values that develop in urban environments, such as greater tolerance for diversity, faster pace of life, and emphasis on commerce and industry. In some educational contexts, particularly in British usage, oppidan might refer to students who live in town rather than in school boarding facilities. Understanding oppidan versus rural distinctions is important for studying social development, economic history, and the evolution of human settlements.","From Latin oppidanus meaning ""of a town,"" from oppidum (town, fortified place).","Think ""op-PID-an"" - relating to an ""oppidum"" (town), so describing town or city characteristics.",The historian studied the differences between _____ merchant culture and rural farming traditions in medieval Europe.,Claude,Claude,Claude,Claude,Claude,1.0,2.0,1.0,1.8,,False
opponency,2021; 2022; 2023,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,One Bee; Two Bee,/əˈpoʊnənsi/,"Opponency refers to the state or quality of being in opposition, resistance, or antagonistic relationship to something or someone, involving active disagreement, conflict, or competitive positioning. The term describes situations where parties, ideas, forces, or interests stand in direct contradiction or opposition to each other, creating tension, conflict, or competitive dynamics. In political contexts, opponency might describe the relationship between rival political parties, candidates, or ideological positions that compete for influence and support. Legal opponency occurs in adversarial court systems where opposing counsel represent different sides of disputes, each arguing against the other's position. In sports and games, opponency is fundamental to competitive structure, where teams or individuals work to defeat each other according to established rules. The concept can also apply to abstract ideas, theories, or proposals that contradict each other, creating intellectual or philosophical opposition. Opponency often involves not just disagreement but active efforts to counter, defeat, or undermine opposing positions or forces. Understanding opponency is important for analyzing conflict, competition, negotiation, and problem-solving in various contexts where different interests or viewpoints come into direct contact.","From Latin opponens meaning ""opposing"" + -cy suffix indicating state or quality, meaning ""the state of opposing.""","Think ""oppon-ency"" - the tendency or state of ""opposing"" something, being an opponent.",The debate highlighted the _____ between environmental protection advocates and industrial development interests.,Claude,Claude,Claude,Claude,Claude,1.0,3.0,1.0,1.8,,False
opportunity,2020,2020 Words_of_the_Champions.pdf,One Bee,/ˌɑpərˈtunəti/,"Opportunity refers to a favorable circumstance, situation, or moment that provides a chance for advancement, progress, or achievement, typically requiring recognition and action to realize potential benefits. Opportunities represent moments when conditions align to make success, improvement, or positive change more likely, though they often require preparation, effort, and timely response to capitalize on them effectively. In personal development, opportunities might include educational possibilities, career openings, relationship prospects, or chances to develop new skills and experiences. Business opportunities encompass market conditions, partnerships, innovations, or circumstances that could lead to profit, growth, or competitive advantage. The concept emphasizes the temporal nature of favorable conditions - opportunities often have limited duration and may not present themselves again in the same form. Recognition of opportunity requires awareness, preparation, and often courage to take calculated risks or step outside comfort zones. Many opportunities arise unexpectedly, while others result from deliberate effort to create favorable conditions. The ability to identify, evaluate, and act on opportunities is considered crucial for personal success, business growth, and social progress. Understanding that opportunity often involves both potential benefits and inherent risks helps in making informed decisions about which chances to pursue.","From Latin opportunitas meaning ""fitness, convenience,"" from opportunus (favorable), literally ""toward the port.""","Think ""oppor-TUNA-ty"" - a favorable chance or opening that comes your way, like a fish approaching the boat.",The internship provided an excellent _____ for students to gain practical experience in their chosen field.,Claude,Claude,Claude,Claude,Claude,1.0,4.0,1.0,1.8,,False
opposite,2021,2021_Printable_Words of the Champions.pdf,One Bee,/ˈɑpəzɪt/,"Opposite describes something that is completely different from, contrary to, or positioned directly across from something else, representing the maximum degree of difference or contrast possible within a particular context. In spatial terms, opposite refers to positions that are directly across from each other, such as opposite sides of a street, opposite ends of a spectrum, or opposite corners of a room. In conceptual terms, opposite ideas, qualities, or characteristics represent maximum contrast - hot and cold, love and hate, light and dark, or success and failure. Mathematical opposites include positive and negative numbers, while logical opposites involve contradictory statements that cannot both be true simultaneously. The concept of opposition is fundamental to human understanding, helping organize experiences, make comparisons, and understand relationships between different elements. In language, opposite words (antonyms) provide precise ways to express contrasts and distinctions. Understanding opposites helps in problem-solving, decision-making, and communication by providing clear reference points for comparison and contrast. The recognition of opposites also plays important roles in philosophy, science, and art, where contrasts and tensions often drive understanding, discovery, and creative expression.","From Latin oppositus, past participle of opponere meaning ""to place against,"" from ob- (against) + ponere (to place).","Think ""op-POSE-ite"" - positioned or placed in opposition to something else, directly contrary.",The twins had completely _____ personalities - one was outgoing while the other was shy and reserved.,Claude,Claude,Claude,Claude,Claude,1.0,3.0,1.0,1.8,,False
opprobrious,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,/əˈproʊbriəs/,"Opprobrious describes language, behavior, or treatment that is harshly critical, scornful, or intended to bring shame, disgrace, or dishonor to someone or something. This adjective characterizes expressions of severe disapproval, contempt, or reproach that go beyond ordinary criticism to become insulting, degrading, or abusive. Opprobrious remarks typically involve harsh condemnation, personal attacks, or language designed to damage someone's reputation or standing in the community. Such expressions often reflect deep anger, moral outrage, or deliberate attempts to inflict psychological harm through verbal assault. In legal contexts, opprobrious language might constitute defamation, harassment, or hate speech depending on its content and intent. Historical examples include the opprobrious treatment of various groups during periods of social conflict, persecution, or discrimination. The term suggests not just negative criticism but a quality of harshness and contempt that exceeds normal bounds of civil discourse or fair critique. Understanding what constitutes opprobrious behavior is important for maintaining respectful communication, recognizing abusive patterns, and distinguishing between legitimate criticism and harmful personal attacks. In professional and social contexts, avoiding opprobrious language helps maintain constructive relationships and productive dialogue.","From Latin opprobrium meaning ""reproach, infamy,"" from ob- (against) + probrum (shameful act), meaning ""bringing shame.""","Think ""op-PROB-rious"" - language that ""probes"" against someone in a harsh, shameful way.",The politician's _____ comments about his opponent crossed the line from legitimate criticism to personal attack.,Claude,Claude,Claude,Claude,Claude,1.0,4.0,1.0,1.8,,False
oppugn,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,/əˈpjun/,"Oppugn is a formal verb meaning to attack, oppose, or challenge something, particularly ideas, arguments, policies, or positions, through criticism, contradiction, or hostile action. The term implies more than simple disagreement - it suggests active, determined opposition that seeks to undermine, discredit, or defeat the target of opposition. In academic and intellectual contexts, to oppugn a theory means to challenge its validity through evidence, logical argument, or alternative explanations. Legal oppugning might involve challenging the validity of contracts, wills, or legal decisions through formal proceedings. Political oppugning occurs when individuals or groups actively work to oppose and defeat policies, candidates, or governmental actions they disagree with. The word carries connotations of deliberate, sustained effort rather than casual or momentary disagreement. Oppugning typically involves presenting counter-arguments, evidence, or actions designed to weaken or destroy the credibility or effectiveness of whatever is being opposed. The term is more formal and literary than common synonyms like ""attack"" or ""oppose,"" often appearing in academic, legal, or sophisticated political discourse. Understanding when and how to appropriately oppugn ideas or positions is important for effective debate, scholarly inquiry, and democratic participation.","From Latin oppugnare meaning ""to fight against, attack,"" from ob- (against) + pugnare (to fight).","Think ""op-PUGN"" - to ""pugnaciously"" (combatively) attack or fight against something.",The scholar sought to _____ the prevailing theory by presenting compelling evidence that contradicted its main assumptions.,Claude,Claude,Claude,Claude,Claude,1.0,2.0,1.0,1.8,,False
optician,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,/ɑpˈtɪʃən/,"An optician is a healthcare professional who specializes in fitting, dispensing, and adjusting eyeglasses, contact lenses, and other optical devices based on prescriptions provided by ophthalmologists or optometrists. These skilled practitioners combine technical knowledge of optics with practical expertise in lens technology, frame selection, and precise fitting to ensure that corrective eyewear provides optimal vision correction and comfort. Opticians interpret prescriptions that specify the exact lens powers, prism corrections, and other specifications needed to correct refractive errors such as nearsightedness, farsightedness, and astigmatism. They help customers select appropriate frames based on facial features, lifestyle needs, and personal preferences, then use specialized equipment to cut, shape, and mount lenses precisely. Modern opticians also fit and train patients in the proper use of contact lenses, including daily wear, extended wear, and specialty lenses for conditions like astigmatism or presbyopia. Many opticians complete formal training programs or apprenticeships and may be licensed or certified depending on local regulations. They work in optical shops, eye care centers, retail chains, and sometimes in conjunction with eye care practices, serving as the crucial link between vision prescriptions and functional, comfortable eyewear.","From ""optic"" (relating to sight or eyes) + ""-ian"" (suffix indicating a practitioner or specialist).","Think ""optic-ian"" - a specialist in ""optics"" who fits glasses and handles vision correction devices.",The _____ carefully adjusted the new eyeglasses to ensure they sat properly on the patient's nose and ears.,Claude,Claude,Claude,Claude,Claude,1.0,3.0,1.0,1.8,,False
optimum,2020; 2021; 2022; 2023; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,One Bee; Three Bee; Two Bee,/ˈɑptəməm/,"Optimum refers to the most favorable, advantageous, or desirable condition, level, or outcome possible within given constraints or circumstances, representing the best achievable result or state. This concept applies across numerous fields and situations where multiple variables must be balanced to achieve the best possible outcome. In mathematics and engineering, optimum solutions represent the maximum or minimum values that satisfy specific criteria while meeting all constraints. In biology and medicine, optimum conditions refer to environmental factors, dosages, or treatments that produce the best health outcomes or biological function. Business optimization seeks optimum efficiency, profit, or performance by finding the best combination of resources, strategies, and processes. The optimum represents a balance point where improvements in one area cannot be made without sacrificing performance in another area. Unlike ""maximum"" which simply means the highest amount, optimum considers the overall best result considering all relevant factors and trade-offs. Scientific research often seeks to identify optimum conditions for experiments, treatments, or processes that will yield the most reliable and beneficial results. Understanding optimum conditions helps in decision-making, resource allocation, and problem-solving across personal, professional, and technical contexts.","From Latin optimus meaning ""best,"" superlative of bonus (good), literally meaning ""the best possible.""","Think ""opt-IMUM"" - the best option or choice you can ""opt"" for under the circumstances.",The engineer determined that 72 degrees was the _____ temperature for both energy efficiency and occupant comfort.,Claude,Claude,Claude,Claude,Claude,1.0,2.0,1.0,1.8,,False
options,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,/ˈɑpʃənz/,"Options are choices, alternatives, or possibilities available to someone when making decisions, representing different courses of action that can be selected based on preferences, circumstances, or objectives. Having multiple options provides flexibility and the ability to choose the most suitable path forward, whether in personal decisions, business strategies, or problem-solving situations. In finance, options are specific types of contracts that give holders the right, but not the obligation, to buy or sell assets at predetermined prices within specified time periods, serving as important tools for investment and risk management. Educational options include different schools, programs, or learning paths that students can choose based on their interests and career goals. Career options represent various professional paths and opportunities available to individuals based on their skills, education, and market conditions. The concept of options implies freedom of choice and the existence of multiple viable alternatives, though the quality and number of available options may vary significantly based on circumstances, resources, and external constraints. Effective decision-making often involves careful evaluation of available options, considering their potential benefits, risks, costs, and alignment with personal or organizational goals. Having too few options can feel limiting, while too many options can sometimes create decision paralysis.","Plural of ""option,"" from Latin optio meaning ""choice, wish,"" from optare (to choose, wish).","Think ""opt-ions"" - multiple things you can ""opt"" or choose from when making decisions.",The restaurant menu offered numerous vegetarian _____ to accommodate different dietary preferences.,Claude,Claude,Claude,Claude,Claude,1.3,2.0,1.0,1.8,,False
optometry,2020,2020 Words_of_the_Champions.pdf,One Bee,/ɑpˈtɑmətri/,"Optometry is a healthcare profession focused on examining eyes, diagnosing vision problems and eye diseases, prescribing corrective lenses and treatments, and providing comprehensive primary eye care services. Optometrists are trained healthcare professionals who complete specialized doctoral programs in optometry, learning to detect and manage various eye conditions, refractive errors, and vision-related problems. The field encompasses routine eye examinations, vision testing, diagnosis of conditions like glaucoma and diabetic retinopathy, prescription of eyeglasses and contact lenses, and treatment of certain eye diseases and injuries. Modern optometry utilizes sophisticated diagnostic equipment including digital retinal imaging, visual field testing, and optical coherence tomography to detect eye problems early and monitor their progression. Optometrists often serve as primary eye care providers, especially in communities where ophthalmologists may be less accessible, and they work closely with other healthcare professionals to manage patients' overall health since many systemic diseases affect the eyes. The profession has expanded beyond basic vision correction to include specialty areas such as pediatric optometry, low vision rehabilitation, contact lens specialization, and management of ocular diseases. Preventive care is a major focus, with regular optometric examinations helping to detect not only eye problems but also signs of diabetes, hypertension, and other systemic conditions.","From Greek optikos (relating to sight) + metron (measure), literally meaning ""measurement of sight.""","Think ""opto-metry"" - the ""metro"" (measurement) of ""opto"" (vision/sight) to determine eye health.","After completing her doctorate in _____, she opened a practice specializing in pediatric eye care.",Claude,Claude,Claude,Claude,Claude,1.0,3.0,1.0,2.6,,False
opulent,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,/ˈɑpjələnt/,"Opulent describes something characterized by great wealth, luxury, abundance, or magnificence, typically involving elaborate display of expensive materials, rich decoration, and sumptuous comfort that demonstrates significant financial resources. The term applies to lifestyles, environments, objects, or experiences that exhibit lavish abundance and sophisticated luxury far beyond basic needs or simple comfort. Opulent homes might feature marble floors, crystal chandeliers, gold fixtures, and expensive artwork, while opulent lifestyles could include luxury travel, fine dining, designer clothing, and exclusive experiences. The word often carries implications of excess and conspicuous consumption, where wealth is deliberately displayed through material possessions and experiences. Opulent can describe natural abundance as well, such as opulent gardens bursting with flowers and lush vegetation, or opulent feasts featuring rich foods and elaborate presentation. While opulence can be aesthetically impressive and culturally significant, it may also be criticized as wasteful, ostentatious, or insensitive to social inequality. Historical examples of opulence include royal palaces, luxury ocean liners, and the lifestyles of wealthy industrialists. Understanding opulence helps in analyzing social structures, economic inequality, and cultural values related to wealth, luxury, and display.","From Latin opulentus meaning ""wealthy, rich,"" from opes (wealth, resources), related to opus (work, effort).","Think ""OP-ulent"" - ""OP"" (over the top) in luxury and wealth, abundant and rich.","The _____ ballroom featured gold leaf ceilings, crystal chandeliers, and marble columns imported from Italy.",Claude,Claude,Claude,Claude,Claude,1.0,2.0,1.0,1.8,,False
opus,2021,2021_Printable_Words of the Champions.pdf,One Bee,/ˈoʊpəs/,"Opus refers to a creative work, composition, or artistic creation, particularly used in classical music to identify and catalog a composer's works in chronological or thematic order. In musical contexts, opus numbers (often abbreviated as ""Op."") help identify specific pieces within a composer's body of work, such as Beethoven's Symphony No. 9, Op. 125, or Chopin's Ballades, Op. 23. The term has expanded beyond music to encompass any significant creative work or masterpiece in literature, visual arts, architecture, or other creative fields. An artist's opus might refer to their complete body of work or to a particularly important or representative piece that demonstrates their highest achievement or artistic vision. The concept implies not just any work, but something created with serious artistic intent, skill, and often considerable effort or significance. In academic and critical contexts, discussing an artist's opus involves analyzing their creative development, thematic concerns, and artistic contributions. The term suggests both individual works and the broader creative legacy that artists leave behind. Understanding opus helps in organizing, studying, and appreciating artistic traditions and the development of creative works within historical and cultural contexts.","From Latin opus meaning ""work, labor, effort,"" the singular form of opera (works).","Think ""OH-pus"" - a significant creative work or ""opus"" (work) that represents an artist's achievement.","The composer's final _____ was considered his masterpiece, combining all the techniques he had developed over his career.",Claude,Claude,Claude,Claude,Claude,1.0,1.0,1.0,1.8,,False
oracle,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,/ˈɔrəkəl/,"Oracle refers to a person, agency, or source that provides wise counsel, prophetic insights, or authoritative information, historically associated with religious or spiritual contexts where divine guidance was sought and received. In ancient Greek and Roman cultures, oracles were sacred sites or priestesses through whom gods were believed to communicate prophecies and guidance to mortals, with the Oracle at Delphi being perhaps the most famous example. These religious figures served as intermediaries between human and divine realms, interpreting divine messages and providing counsel on important decisions ranging from personal matters to affairs of state. In modern usage, oracle describes any source of reliable, authoritative, or seemingly prophetic information - someone might be called an oracle of financial wisdom or political insight because of their track record of accurate predictions or sound advice. The term also appears in technology, where Oracle Corporation is a major database software company, and in computing contexts where oracle algorithms provide definitive answers to computational problems. Understanding oracles involves recognizing their role in providing guidance, prediction, and authoritative information across religious, cultural, and modern contexts where people seek wisdom beyond their own knowledge and experience.","From Latin oraculum meaning ""divine announcement,"" from orare (to speak, pray), related to ""oral.""","Think ""OR-acle"" - someone who speaks (""oral"") divine wisdom or gives prophetic guidance.",Ancient Greeks would travel great distances to consult the _____ at Delphi before making important decisions.,Claude,Claude,Claude,Claude,Claude,1.0,2.0,1.0,1.8,,False
oral,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,/ˈɔrəl/,"Oral refers to anything relating to the mouth, spoken rather than written communication, or activities involving the mouth and speech. In communication contexts, oral refers to spoken language, verbal presentations, and face-to-face conversation as opposed to written text, email, or other non-verbal forms of communication. Oral traditions involve the passing down of stories, knowledge, and cultural information through spoken word rather than written records, playing crucial roles in preserving history and culture in societies without widespread literacy. In educational settings, oral examinations test students through spoken questions and answers, while oral presentations require students to communicate information verbally to audiences. Medical oral health involves the care and treatment of teeth, gums, mouth, and related structures, with oral hygiene practices essential for preventing disease and maintaining overall health. Legal oral arguments allow attorneys to present cases verbally before judges and juries, supplementing written briefs with direct advocacy. The term emphasizes the importance of speech, verbal communication, and mouth-related functions in human interaction, learning, and health. Understanding oral versus written communication helps in choosing appropriate communication methods and recognizing the unique advantages and limitations of spoken versus written expression.","From Latin oralis meaning ""of the mouth,"" from os, oris (mouth), related to ""orator"" and ""oration.""","Think ""OR-al"" - relating to the mouth or spoken ""orally"" rather than written.",The history professor preferred _____ exams because they allowed students to explain their reasoning in real-time.,Claude,Claude,Claude,Claude,Claude,1.0,1.0,1.0,1.8,,False
orally,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,/ˈɔrəli/,"Orally is an adverb meaning ""by mouth"" or ""through spoken communication,"" describing how information is transmitted, medicine is administered, or communication takes place using speech rather than writing or other methods. In medical contexts, orally indicates that medications are taken by mouth, swallowed and absorbed through the digestive system, as opposed to injections, topical applications, or other routes of administration. Educational orally refers to verbal instruction, oral presentations, or spoken examinations where information is communicated through speech rather than written materials. Legal proceedings often involve testimony given orally, where witnesses speak their accounts rather than submitting only written statements. Cultural transmission orally describes how traditions, stories, and knowledge are passed down through spoken word from generation to generation in oral traditions. The adverb emphasizes the method of delivery or administration, highlighting the use of mouth, speech, or verbal communication as the primary means. In research and documentation, information gathered orally through interviews or conversations provides different perspectives and details than written sources. Understanding oral versus other methods of communication or administration is important for choosing appropriate approaches in education, medicine, legal proceedings, and cultural preservation.","From ""oral"" + ""-ly"" adverb suffix, meaning ""in an oral manner"" or ""by means of the mouth.""","Think ""oral-ly"" - done ""orally"" or by mouth, whether speaking or taking medicine.",The medication should be taken _____ with food to reduce stomach irritation.,Claude,Claude,Claude,Claude,Claude,1.0,2.0,1.5,1.0,,False
orange,2025,2025 Words of Champion _1_.pdf,Three Bee,/ˈɔrɪndʒ/,"Orange refers both to a citrus fruit and to the vibrant color that bears the fruit's name, representing one of the most recognizable and widely consumed fruits worldwide. The orange fruit (Citrus sinensis) is prized for its sweet, tangy flavor, high vitamin C content, and versatility in culinary applications ranging from fresh eating and juice production to cooking and baking. Oranges grow on evergreen trees in warm climates and come in various varieties including navel oranges, Valencia oranges, and blood oranges, each with distinct characteristics in terms of flavor, appearance, and optimal uses. As a color, orange occupies the spectrum between red and yellow, created by combining these primary colors in various proportions. Orange appears frequently in nature - in sunsets, autumn leaves, flowers like marigolds and poppies, and various fruits and vegetables. The color has strong psychological associations with energy, enthusiasm, creativity, and warmth, making it popular in branding, interior design, and art where vibrant, attention-getting effects are desired. Orange also has cultural significance in various traditions, representing harvest festivals, Halloween celebrations, and spiritual practices in some cultures.","From Old French orenge, from Arabic naranj, from Persian narang, ultimately from Sanskrit naranga.",Think of the bright orange fruit - both the fruit and the color share the same name and vibrant appearance.,The fresh _____ juice provided a refreshing burst of vitamin C with breakfast.,Claude,Claude,Claude,Claude,Claude,1.0,2.0,1.0,3.4000000000000004,,False
orca,2023,2023_Words_of_the_Champions.pdf,Two Bee,/ˈɔrkə/,"Orca, also known as the killer whale, is the largest member of the dolphin family and one of the ocean's most intelligent and powerful marine predators, characterized by distinctive black and white coloration and remarkable social intelligence. These magnificent marine mammals can reach lengths of up to 26 feet and weights of 6 tons, with males typically larger than females and distinguished by their tall, triangular dorsal fins. Orcas are found in oceans worldwide, from Arctic to Antarctic waters, and have developed sophisticated hunting techniques that vary by geographic population, including coordinated pack hunting strategies to capture fish, seals, and even other whales. Their complex social structure involves living in matrilineal pods led by the oldest female, with intricate communication systems using distinctive calls and dialects specific to each family group. Orcas demonstrate remarkable intelligence through their ability to learn, teach, and adapt hunting strategies, use tools, and engage in complex social behaviors including play and cultural transmission. In captivity, orcas have been featured in marine parks, though this practice has become increasingly controversial due to concerns about animal welfare and the psychological effects of confinement on these highly intelligent, far-ranging marine mammals.","From Latin orca meaning ""large-bellied sea creature,"" possibly related to Orcus (Roman god of the underworld).","Think ""OR-ca"" - the ""king"" of the ocean predators, black and white like a formal ""orca-stra"" conductor.",The pod of _____ whales demonstrated sophisticated hunting techniques as they coordinated to catch salmon.,Claude,Claude,Claude,Claude,Claude,1.0,1.0,1.0,1.8,,False
orchestra,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,/ˈɔrkəstrə/,"Orchestra refers to a large ensemble of musicians playing various instruments together under the direction of a conductor, typically including string, woodwind, brass, and percussion sections that combine to create complex, layered musical performances. A full symphony orchestra usually contains 70-100 musicians organized into distinct sections: strings (violins, violas, cellos, double basses), woodwinds (flutes, oboes, clarinets, bassoons), brass (trumpets, French horns, trombones, tubas), and percussion (timpani, drums, cymbals, and various other instruments). The orchestra as we know it today evolved from smaller Baroque ensembles, reaching its current form during the Classical and Romantic periods when composers like Mozart, Beethoven, and Brahms wrote extensively for these large instrumental groups. Modern orchestras perform a vast repertoire ranging from classical symphonies and concertos to contemporary works, film scores, and popular music arrangements. The conductor serves as the musical leader, interpreting the score and coordinating the ensemble's timing, dynamics, and artistic expression through gestures and rehearsal guidance. Understanding orchestral music involves appreciating how different instrument families blend to create rich, complex soundscapes that can express a full range of emotions and musical ideas through collaborative performance.","From Greek orchestra, originally referring to the circular area in front of the stage in Greek theaters where the chorus performed.","Think ""OR-chestra"" - a large group that ""orchestrates"" (organizes) music with many different instruments.",The symphony _____ performed Beethoven's Ninth Symphony to a sold-out audience at the concert hall.,Claude,Claude,Claude,Claude,Claude,1.0,3.0,1.0,1.8,,False
ordained,2023,2023_Words_of_the_Champions.pdf,Two Bee,/ɔrˈdeɪnd/,"Ordained is the past tense of ""ordain,"" meaning officially appointed, decreed, or established through formal authority, most commonly used in religious contexts where individuals are formally invested with ministerial or priestly authority through ceremonial rites. In religious usage, ordained ministers, priests, rabbis, or other clergy have undergone specific training, met denominational requirements, and participated in ordination ceremonies that officially recognize their authority to perform religious functions such as conducting worship services, administering sacraments, performing marriages, and providing spiritual guidance. The process of ordination typically involves theological education, practical training, examination by religious authorities, and formal installation through laying on of hands or other ceremonial acts. Beyond religious contexts, ordained can refer to any formal establishment or decree by authority - laws might be ordained by governments, policies ordained by organizations, or destinies ordained by fate. The term carries implications of legitimacy, authority, and formal recognition that distinguishes ordained status from informal or self-appointed roles. Understanding ordination involves recognizing the institutional processes, requirements, and ceremonies through which various organizations, particularly religious institutions, formally recognize and authorize individuals to serve in leadership or ceremonial capacities.","From Latin ordinatus, past participle of ordinare meaning ""to set in order, arrange,"" from ordo (order, arrangement).","Think ""OR-dained"" - formally put in ""order"" or officially appointed to a position or role.","After completing seminary, she was _____ as a minister and assigned to her first congregation.",Claude,Claude,Claude,Claude,Claude,1.0,3.0,1.5,1.8,,False
