word,definition,pronunciation,etymology,memory_tip,example_sentence,part_of_speech,source,source_difficulty,claude_difficulty,phonetic_score,frequency_score,morphological_score,etymology_score,total_score
shadow,"A dark area or shape produced by an object blocking light from reaching a surface; the dark image cast by something intercepting rays of light. Shadows change in size, shape, and position based on the light source angle, object shape, and distance relationships. In psychology, ""shadow"" refers to hidden or repressed aspects of personality. The term can mean to follow closely and secretly, as in shadowing someone for surveillance or observation. Shadow can also indicate a trace or slight suggestion of something, as in ""a shadow of doubt."" In politics, shadow ministers or shadow cabinets represent opposition party members who monitor government positions. Metaphorically, shadows represent mystery, hidden knowledge, or the darker aspects of life and human nature.",/ˈʃædoʊ/,"From Old English sceadwe, related to shade and meaning darkness or protection.","Think ""SHAD-OW"" - the dark shape that shows where light is owed but blocked.",Her _____ grew longer as the sun set lower in the western sky.,noun/verb,Scripps National Spelling Bee,One Bee,,0.1,1.0,0.4,0.3,1.8
shaggy,"Having long, thick, unkempt hair or fur; covered with rough, tangled, or coarse material that appears disheveled or unkempt. Shaggy typically describes textures that are intentionally or naturally rough and uneven, such as shaggy carpets with long pile, shaggy dogs with thick coats, or shaggy hairstyles with uneven layers. The term can apply to vegetation that grows wild and unmanaged, creating a rough, tangled appearance. In popular culture, ""shaggy"" often refers to the deliberately messy, casual hair style or the animated character Shaggy from Scooby-Doo. The word conveys a sense of natural disorder, casual styling, or deliberately unkempt appearance that may be either fashionable or simply ungroomed. Shaggy textures often feel soft despite their rough appearance.",/ˈʃæɡi/,"From shag + -y suffix, where shag refers to rough, tangled hair or material.","Think ""SHAG-GY"" - hair that's shagged up and messy like a shag carpet.","The _____ dog shook water from its thick, matted coat after swimming.",adjective,Scripps National Spelling Bee,Three Bee,,0.1,1.0,0.4,0,1.5
shah,"A Persian title for a king or emperor, historically used by rulers of Iran and other Persian-influenced regions. The shah held absolute power over the empire and was considered the supreme authority in political, military, and often religious matters. Famous shahs include Cyrus the Great of the ancient Persian Empire and Mohammad Reza Pahlavi, the last shah of Iran who was overthrown in 1979. The title carries connotations of imperial grandeur, absolute monarchy, and Persian cultural heritage. In chess, ""shah"" is the origin of the term ""check,"" derived from the Persian phrase meaning ""the king is attacked."" The position represented divine appointment and carried enormous responsibility for the welfare of the empire. The last Iranian shah's regime ended with the Islamic Revolution, eliminating the position from modern Iran.",/ʃɑː/,From Persian šāh meaning king or emperor.,"Think ""SHAH"" - a Persian king who says ""ah"" as he rules his empire.",The last _____ of Iran left the country during the 1979 revolution.,noun,Scripps National Spelling Bee,Three Bee,,0.1,0.5,0,1.0,1.6
shakar,"A term for sugar in various South Asian languages including Hindi, Urdu, and Persian, referring to crystallized sugar or sweet substances used in cooking and confections. Shakar represents an important ingredient in traditional South Asian cuisine, used in both savory and sweet dishes, as well as in various traditional sweets and desserts. The term appears in many regional recipes and cultural contexts where sugar plays important roles in food preparation, religious offerings, and hospitality customs. Different types of shakar may include refined sugar, jaggery, or other sweetening agents depending on regional preferences and availability. In historical contexts, shakar was a valuable trade commodity that influenced economic and cultural exchanges between regions. The word reflects the linguistic and cultural connections between Persian, Arabic, and South Asian civilizations.",/ˈʃækər/,"From Persian shakar meaning sugar, related to Sanskrit शर्करा (sharkara).","Think ""SHAK-AR"" - shaking sugar crystals into food for sweetness.",The recipe called for _____ to sweeten the traditional milk-based dessert.,noun,Scripps National Spelling Bee,Three Bee,,0.1,1.0,0.4,1.5,3.0
shake,"To move quickly back and forth or up and down with short, rapid movements; to tremble or vibrate due to emotion, cold, fear, or external forces. Shaking can be voluntary (shaking hands in greeting) or involuntary (shaking from cold or nervousness). The action can apply to objects being moved by external forces or people experiencing physical or emotional responses. Shake can also mean to disturb, upset, or unsettle someone emotionally, as in being ""shaken"" by news. In various contexts, shake refers to mixing beverages, removing items by vigorous movement, or expressing disapproval through head movements. The word can describe natural phenomena like earthquakes or mechanical vibrations. Cultural uses include handshakes for greetings and agreements, milkshakes as beverages, and ""shake it off"" as encouragement to overcome setbacks.",/ʃeɪk/,From Old English sceacan meaning to move quickly back and forth.,"Think ""SHAKE"" - making something quake with quick back-and-forth movement.",The earthquake caused the entire building to _____ violently for several seconds.,verb/noun,Scripps National Spelling Bee,One Bee,,0.1,1.0,0,0.3,1.4000000000000001
shall,"A modal auxiliary verb expressing future tense, intention, obligation, or determination, traditionally used with first person pronouns (I, we) to indicate simple future action. In formal or legal contexts, ""shall"" often indicates obligation or requirement rather than mere futurity, as in contracts or legislation where ""shall"" means ""must"" or ""is required to."" The word can express strong determination or promise, as in ""We shall overcome."" British English tends to use ""shall"" more frequently than American English, which often prefers ""will"" for future tense. In questions, ""shall"" can propose action or seek agreement, as in ""Shall we go?"" The usage varies by region, formality level, and context, with ""shall"" maintaining stronger presence in legal, religious, and formal discourse.",/ʃæl/,"From Old English sceal meaning owe, ought to, or must.","Think ""SHALL"" - a formal way to say what one will do or must do.",The contract states that the contractor _____ complete the work by December 31st.,modal verb,Scripps National Spelling Bee,Three Bee,,0.1,1.0,0,0.3,1.4000000000000001
shallow,"Having little depth from top to bottom; not extending far below a surface, whether in water, containers, or figurative contexts. Shallow water poses different challenges for navigation and swimming than deep water. The term can describe physical characteristics (shallow dishes, shallow graves) or intellectual and emotional qualities (shallow thinking, shallow relationships). When applied to people or ideas, shallow suggests lack of depth, substance, or serious consideration. Shallow breathing involves taking air only into the upper lungs rather than breathing deeply. In photography, shallow depth of field keeps only a narrow range in focus. The word often carries negative connotations when describing superficial attitudes, understanding, or relationships that lack meaningful depth or genuine engagement.",/ˈʃæloʊ/,"From Old English sceald meaning shallow, related to shoal.","Think ""SHALL-LOW"" - shall we go low into the shallow water where it's not deep?",The boat ran aground in the _____ water near the shore.,adjective,Scripps National Spelling Bee,Three Bee,,0.1,1.5,0.4,0.3,2.3
shaman,"A religious or spiritual leader in certain cultures who is believed to have the ability to communicate with spirits, heal illnesses, and guide souls between the physical and spiritual worlds. Shamans traditionally serve as intermediaries between human communities and supernatural forces, using various techniques including ritualistic practices, trance states, herbal medicine, and ceremonial objects. The role encompasses healing, divination, spiritual guidance, and maintaining cultural traditions. Shamanic practices exist in many indigenous cultures worldwide, including Siberian, Native American, African, and South American traditions. Modern interest in shamanism has led to contemporary spiritual practices that draw from traditional techniques. The shaman's role often requires extensive training, initiation rituals, and deep knowledge of cultural beliefs, medicinal plants, and spiritual practices. Their work addresses both physical and spiritual aspects of community well-being.",/ˈʃɑːmən/,"From Russian шаман (shaman), from Tungusic šamān meaning religious practitioner.","Think ""SHAM-AN"" - not a sham, but a real spiritual person who bridges worlds.",The _____ performed a healing ceremony using traditional herbs and chanting.,noun,Scripps National Spelling Bee,Three Bee/Two Bee,,0.1,1.0,0.4,1.0,2.5
shamanverb,"[COMBINED WORD ERROR] This appears to be two words combined: ""shaman"" (a spiritual leader who communicates with spirits) and ""verb"" (a grammatical term for action words). This combination likely resulted from a data processing error where two separate dictionary entries were merged without proper spacing. The correct format should separate these as distinct words with their individual meanings and contexts.",/ˈʃɑːmənvɜrb/,Error combination of Tungusic šamān (shaman) + Latin verbum (verb),This is a combined word error - look for the separation between shaman and verb.,The data contained an error where _____ appeared instead of two separate words.,error,Scripps National Spelling Bee,Three Bee,,0.1,2.0,1.0,1.0,4.1
shambles,"A state of complete disorder, confusion, or disorganization; a situation that is chaotic, messy, or falling apart. Originally, shambles referred to a slaughterhouse or meat market, but the modern meaning evolved from the bloody, disorderly appearance of such places. The word is often used to describe situations that have gone wrong, plans that have failed, or environments that are extremely disorganized. A room, event, organization, or process can be described as ""in shambles"" when it lacks order or proper function. The term emphasizes not just messiness but a degree of chaos that suggests things have deteriorated significantly from their intended state. Political situations, business operations, or personal circumstances might be described as shambles when they become unmanageable or dysfunctional.",/ˈʃæmbəlz/,"From Middle English shamble meaning bench or stall, originally referring to meat markets.","Think ""SHAM-BLES"" - a situation so bad it's like a shameful scramble or mess.","After the storm, the outdoor wedding venue was in complete _____.",noun,Scripps National Spelling Bee,One Bee,,0.3,1.5,0.7,0.3,2.8
shamrock,"A three-leafed plant, typically a clover, that serves as the national symbol of Ireland and is associated with St. Patrick and Irish culture. The shamrock traditionally represents the Holy Trinity in Christian symbolism, with each leaf representing the Father, Son, and Holy Spirit. According to legend, St. Patrick used the shamrock to explain the concept of the Trinity to the Irish people during his missionary work. The plant is commonly featured in St. Patrick's Day celebrations and Irish imagery worldwide. While several plant species are called shamrock, including white clover and wood sorrel, the exact species historically used by St. Patrick remains debated. The shamrock appears on Irish coins, emblems, and cultural artifacts. Finding a four-leaf clover among shamrocks is considered especially lucky in folklore.",/ˈʃæmrɑk/,"From Irish seamróg, diminutive of seamar meaning clover.","Think ""SHAM-ROCK"" - not a sham rock, but a real three-leafed symbol of Ireland.",She wore a _____ pin on her lapel to celebrate St. Patrick's Day.,noun,Scripps National Spelling Bee,One Bee/Three Bee/Two Bee,,0.1,1.5,0.7,0,2.3
shanter,"A soft, round, brimless Scottish cap, typically made of wool and often featuring a pom-pom or tassel on top, also known as a tam o'shanter or tam. The cap is traditionally associated with Scottish Highland dress and culture, though it has been adopted more broadly as casual headwear. Shanters are often worn tilted to one side and may feature clan tartans or other decorative patterns. The design allows for practical warmth while maintaining cultural identity and style. Military versions have been used by various Scottish regiments. The cap gained broader recognition through literature, particularly Robert Burns' poem ""Tam o' Shanter,"" and through popular culture representations of Scottish heritage. Modern shanters serve both practical and ceremonial purposes in Scottish communities and among those celebrating Scottish culture.",/ˈʃæntər/,"Short for tam o'shanter, named after the character in Robert Burns' poem.","Think ""SHANT-ER"" - a Scottish cap that you shan't forget when wearing Highland dress.",The Scottish dancer adjusted her _____ before performing the traditional Highland fling.,noun,Scripps National Spelling Bee,One Bee/Three Bee,,0.1,1.5,0.4,0,2.0
shape,"The external form, contour, or appearance of something as defined by its outline or configuration; the geometric or physical characteristics that distinguish one object from another. Shape encompasses two-dimensional forms (circles, squares, triangles) and three-dimensional forms (spheres, cubes, pyramids). The term can also refer to physical condition or health status, as in being ""in good shape."" Shape can mean to mold, form, or influence something, such as shaping clay or shaping public opinion. In abstract contexts, shape refers to the nature or character of situations, ideas, or developments. Mathematical shapes have specific properties and relationships. The word emphasizes the defining characteristics that give objects their distinctive appearance and help us recognize and categorize them.",/ʃeɪp/,From Old English sciepon meaning to create or form.,"Think ""SHAPE"" - the way something is made or formed that gives it its distinctive appearance.",The artist molded the clay into the _____ of a graceful swan.,noun/verb,Scripps National Spelling Bee,Three Bee,,0.1,1.0,0,0.3,1.4000000000000001
shaped,"Past tense of shape, meaning to have given form, configuration, or structure to something; molded or formed into a particular appearance or character. The word describes the completed action of creating, influencing, or determining the form of objects, ideas, or situations. Things can be physically shaped through manufacturing, crafting, or natural processes, or metaphorically shaped through experiences, education, or influences. Well-shaped objects have pleasing or functional forms, while misshapen items have irregular or undesirable configurations. Personal character and worldview can be shaped by experiences, relationships, and learning. The term emphasizes the transformative process that creates final forms or characteristics from raw materials or initial conditions.",/ʃeɪpt/,From shape + -ed past tense suffix.,"Think ""SHAP-ED"" - having been shaped into a particular form or configuration.",Her worldview was _____ by years of travel and exposure to different cultures.,verb (past tense)/adjective,Scripps National Spelling Bee,Three Bee,,0.1,1.0,0.4,0,1.5
shar,"A term that may refer to the Shar Pei, a distinctive Chinese dog breed known for its wrinkled skin, blue-black tongue, and loyal temperament. The Chinese Shar Pei was originally bred for hunting, herding, and guarding, and is characterized by its unique loose, wrinkled skin that served as protection in dog fights. The breed nearly became extinct in the 20th century but was revived through dedicated breeding programs. Shar Peis are known for their independence, intelligence, and strong protective instincts toward their families. They require early socialization and consistent training due to their naturally reserved and sometimes stubborn nature. The breed's distinctive appearance includes a broad skull, small triangular ears, and a tail that curls over the back. Modern Shar Peis are primarily kept as companion dogs and show animals.",/ʃɑr/,"Shortened from Shar Pei, from Chinese 沙皮 meaning sand skin, referring to the coat texture.","Think ""SHAR"" - a dog breed that shares its distinctive wrinkled appearance.",The _____ Pei puppy's wrinkled skin made it look like it was wearing an oversized coat.,noun,Scripps National Spelling Bee,One Bee/Three Bee/Two Bee,,0.1,0.5,0,1.5,2.1
share,"To give a portion of something to others or to use, experience, or possess something jointly with others; to distribute or divide something among multiple people. Sharing involves willingness to allow others access to resources, experiences, information, or possessions that one could keep exclusively. The concept is fundamental to cooperation, community building, and social relationships. Financial shares represent portions of ownership in companies or investments. Information sharing facilitates communication and learning. Resource sharing promotes efficiency and sustainability. The word can also mean to tell others about experiences, thoughts, or feelings. Sharing differs from giving in that it typically implies ongoing or mutual access rather than permanent transfer. The practice reflects values of generosity, cooperation, and community spirit.",/ʃɛr/,From Old English scieran meaning to cut or divide.,"Think ""SHARE"" - to give others their fair share of something you have.",The siblings decided to _____ the inheritance equally among all family members.,verb/noun,Scripps National Spelling Bee,Three Bee/Two Bee,,0.1,1.0,0,0.3,1.4000000000000001
