word,years,source_files,source_difficulties,definition,part_of_speech,pronunciation_guide,pronunciation_audio_file,etymology,etymology_source,language_origins,example_sentence,example_sentence_source,memory_tip,phonetic_transparency_score,word_frequency_score,morphological_complexity_score,etymology_complexity_score,final_difficulty_rating,final_difficulty_source,notes,reviewed,needs_audio,has_image,image_description,is_error,error_details
errata,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Errata is the plural form of ""erratum,"" referring to a list of errors and their corrections that appears in a published work such as a book, journal article, or other printed material. Publishers typically include errata to acknowledge and correct mistakes that were discovered after printing, such as typographical errors, factual inaccuracies, formatting problems, or citation mistakes. Errata may appear as separate sheets inserted into books, as additions to subsequent printings, or as published corrections in journals. In academic and scholarly publishing, errata serve important functions for maintaining accuracy and credibility, allowing authors and publishers to correct the record without reprinting entire works. Digital publishing has made errata less common since errors can often be corrected directly in electronic versions. However, the concept remains important for understanding how published materials maintain accuracy and how errors are formally acknowledged and corrected. Errata demonstrate intellectual honesty and commitment to accuracy in professional publishing.",noun (plural),eh-RAH-tah,,"From Latin ""errata,"" plural of ""erratum"" (error), from ""errare"" (to wander, err). Literally means ""things that have wandered/gone wrong.""",Claude,Latin,The publisher included an _______ sheet with the book to correct several typographical errors.,Claude,"Remember ""err-ATA"" - think ""error-ata"" meaning a collection of errors that need fixing, or ""errata"" sounds like ""error-data"" meaning data about errors.",3,3,3,3,,,,False,True,False,,False,
erre,2023,2023_Words_of_the_Champions.pdf,Two Bee,"Erre is the Spanish name for the letter ""R,"" particularly when referring to the rolled or trilled ""R"" sound that is characteristic of Spanish pronunciation. In Spanish, there are two R sounds: the single tap ""r"" (ere) and the rolled ""rr"" (erre), with erre being the more distinctive and challenging sound for non-native speakers to master. The rolled R is produced by rapidly vibrating the tip of the tongue against the roof of the mouth, creating a distinctive trill. This sound appears at the beginning of words that start with R and in double-R combinations within words. Mastering the erre sound is often considered a milestone in Spanish language learning, as it requires specific tongue positioning and breath control that differs significantly from English R sounds. The distinction between ere and erre can change word meanings in Spanish, making proper pronunciation important for clear communication. Understanding erre helps appreciate the phonological complexity of Spanish and the challenges involved in second-language acquisition.",noun,EH-rreh,,"From Spanish ""erre,"" the name of the letter R when it represents the rolled/trilled sound, derived from the letter's sound value.",Claude,Spanish,"The Spanish student practiced rolling her _______ until she could pronounce ""perro"" correctly.",Claude,"Remember ""ERR-e"" - think ""error-eh"" because many learners make errors with this rolled R sound, or ""erre"" is simply the Spanish name for the rolling R sound.",3,3,3,3,,,,False,True,False,,False,
erroneous,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Erroneous means containing or based on error; incorrect, mistaken, or wrong. This adjective describes information, beliefs, assumptions, calculations, or conclusions that are factually inaccurate or logically flawed. Erroneous statements can result from misunderstanding, insufficient information, faulty reasoning, or deliberate distortion. The term is often used in academic, legal, and professional contexts where accuracy is crucial and mistakes have significant consequences. Erroneous data can lead to wrong decisions, failed experiments, or misguided policies. Identifying erroneous information requires critical thinking, fact-checking, and careful analysis of sources and evidence. The word suggests more than simple mistakes; it often implies systematic or significant errors that affect understanding or outcomes. In legal contexts, erroneous rulings may be grounds for appeal. Scientific research relies on identifying and correcting erroneous theories and findings. Understanding what makes information erroneous helps people evaluate sources, verify facts, and make better-informed decisions.",adjective,ih-ROH-nee-uhs,,"From Latin ""erroneus,"" from ""errare"" (to wander, err, make mistakes). The suffix ""-ous"" means ""characterized by.""",Claude,Latin,The scientist realized his initial hypothesis was _______ after reviewing the experimental data.,Claude,"Remember ""err-ON-eous"" - think ""error-on-us"" meaning having error upon us/containing error, or ""erroneous"" contains ""error"" which explains its meaning.",3,3,3,3,,,,False,True,False,,False,
ersion,2021,2021_Printable_Words of the Champions.pdf,One Bee,"This appears to be an incomplete or corrupted word, possibly a fragment from PDF parsing. It could be part of words ending in ""-ersion"" such as ""conversion,"" ""immersion,"" ""diversion,"" or ""aversion."" Without additional context, it's difficult to determine the intended complete word. This may represent a scanning or parsing error where part of a longer word was separated or truncated.",incomplete/error,N/A - incomplete word,,Appears to be incomplete word fragment,Claude,Unknown - incomplete,N/A - This appears to be an incomplete word,Claude,N/A - This is likely a scanning/parsing error,3,3,3,3,,,,False,True,False,,True,"Incomplete word: ""ersion"" appears to be a fragment, possibly from words like ""conversion"", ""immersion"", ""diversion"", etc. This is likely a PDF parsing error where part of a word was truncated."
erstwhile,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Erstwhile means former, previous, or belonging to an earlier time, used to describe someone or something that once held a particular position, status, or characteristic but no longer does. This adjective typically appears before nouns to indicate that the described relationship or condition existed in the past but has since changed. Erstwhile relationships might include former friends, colleagues, or allies who are no longer connected. Erstwhile positions could refer to previous jobs, roles, or responsibilities that someone once held. The word carries connotations of change, transition, and the passage of time, often with implications that the previous state was significant or notable. Erstwhile can describe both personal relationships and institutional changes, such as erstwhile colonies becoming independent nations or erstwhile competitors becoming partners. Understanding erstwhile helps express temporal relationships and acknowledge how people, organizations, and situations evolve over time. The term adds precision to descriptions of change and historical development.",adjective,URST-hwahyl,,"From Middle English ""erst"" (formerly, at first) + ""while"" (time), literally meaning ""former time."" ""Erst"" comes from Old English ""ǣrest"" (earliest).",Claude,"Old English, Middle English",The _______ enemies became close allies after discovering their shared interests.,Claude,"Remember ""ERST-while"" - think ""first-while"" meaning during the first/earlier while/time, or ""erstwhile"" sounds like ""worst-while"" but actually means former times.",3,3,3,3,,,,False,True,False,,False,
erubescent,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Erubescent means becoming red or reddish; blushing or showing a tendency to redden. This adjective describes the process of developing a red coloration, whether from embarrassment, anger, physical exertion, or other causes. In human contexts, erubescent typically refers to the facial flushing that occurs when blood vessels dilate near the skin surface, creating a reddish appearance. This physiological response can result from various emotions including embarrassment, shame, anger, or excitement. The term can also describe objects or natural phenomena that take on reddish hues, such as erubescent sunsets, autumn leaves, or certain minerals. In literary contexts, erubescent often appears in poetic or formal descriptions of blushing or reddening. The word provides a more sophisticated alternative to simpler terms like ""blushing"" or ""reddening."" Understanding erubescent helps readers appreciate descriptive writing and recognize physiological responses to emotional states. The term reflects the connection between internal emotional states and external physical manifestations.",adjective,er-uh-BES-uhnt,,"From Latin ""erubescens,"" present participle of ""erubescere"" meaning ""to redden, blush,"" from ""e-"" (out) + ""rubescere"" (to grow red), from ""ruber"" (red).",Claude,Latin,Her _______ cheeks revealed her embarrassment when she realized everyone was listening to her conversation.,Claude,"Remember ""eru-BESC-ent"" - think ""e"" (out) + ""ruby"" (red gem) + ""escent"" (becoming), meaning becoming ruby-red/blushing, or ""erubescent"" contains ""rub"" like rubbing makes things red.",3,3,3,3,,,,False,True,False,,False,
eructation,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,"Eructation is the medical or formal term for belching or burping - the release of gas from the digestive tract through the mouth. This physiological process occurs when swallowed air or gases produced during digestion accumulate in the stomach and are expelled upward through the esophagus. Eructation serves as a natural mechanism for relieving gastric pressure and is generally considered normal bodily function, though it can be influenced by eating habits, carbonated beverages, and certain medical conditions. In medical contexts, excessive or painful eructation might indicate digestive disorders, gastroesophageal reflux, or other gastrointestinal issues. Cultural attitudes toward eructation vary significantly, with some societies considering it natural and others viewing it as impolite. The formal medical terminology helps healthcare professionals discuss this function objectively without cultural taboos. Understanding eructation as a physiological process helps distinguish between normal digestive function and potential medical concerns. The term appears in medical literature, anatomy texts, and discussions of digestive health.",noun,ih-ruhk-TAY-shuhn,,"From Latin ""eructationem,"" from ""eructare"" meaning ""to belch forth,"" from ""e-"" (out) + ""ructare"" (to belch), related to ""rugire"" (to roar).",Claude,Latin,The doctor explained that occasional _______ after meals is a normal part of digestion.,Claude,"Remember ""e-RUCT-ation"" - think ""e"" (out) + ""ruck"" (rough sound) + ""ation"" (action), meaning the action of making rough sounds coming out, or ""eructation"" sounds like ""eruption"" from your stomach.",3,3,3,3,,,,False,True,False,,False,
eruption,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"An eruption is a sudden, forceful emergence or outbreak of material, energy, or activity from a confined or contained state. Most commonly associated with volcanoes, eruptions involve the explosive or effusive release of magma, ash, and gases from beneath the Earth's surface. Volcanic eruptions can range from gentle lava flows to catastrophic explosions that affect global climate. The term extends to other contexts: skin eruptions describe sudden appearances of rashes, acne, or other dermatological conditions; social eruptions refer to sudden outbreaks of violence, protest, or unrest; emotional eruptions involve sudden displays of intense feelings. Eruptions typically involve pressure buildup followed by rapid release, often with significant impact on surrounding areas. Understanding different types of eruptions helps people recognize patterns of buildup and release in natural, social, and personal contexts. The concept emphasizes the potential for sudden, dramatic change when pressures exceed containment capacity.",noun,ih-RUHP-shuhn,,"From Latin ""eruptionem,"" from ""erumpere"" meaning ""to break out,"" from ""e-"" (out) + ""rumpere"" (to break).",Claude,Latin,"The volcanic _______ sent ash clouds high into the atmosphere, affecting air travel across the region.",Claude,"Remember ""e-RUPT-ion"" - think ""e"" (out) + ""rupt"" (break/disrupt) + ""ion"" (action), meaning the action of breaking out, or ""eruption"" sounds like ""he-rupt"" meaning something ruptures outward.",3,3,3,3,,,,False,True,False,,False,
erythroblast,2020; 2021; 2022; 2023; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"An erythroblast is an immature red blood cell in the bone marrow that represents an intermediate stage in red blood cell development (erythropoiesis). These nucleated cells are precursors to mature red blood cells (erythrocytes) and undergo several developmental stages as they lose their nucleus and acquire the characteristic biconcave shape of mature red blood cells. Erythroblasts are normally found only in the bone marrow, where they develop under the influence of the hormone erythropoietin. Their presence in peripheral blood circulation typically indicates bone marrow stress, disease, or abnormal blood cell production. Different types of erythroblasts exist at various maturation stages, from proerythroblasts to orthochromatic erythroblasts. Medical professionals study erythroblasts to diagnose blood disorders, anemia, bone marrow diseases, and other hematological conditions. Understanding erythroblasts helps explain how the body produces red blood cells and maintains adequate oxygen-carrying capacity. The term is essential in hematology and medical laboratory science.",noun,ih-RITH-ruh-blast,,"From Greek ""erythros"" (red) + ""blastos"" (germ, bud), literally meaning ""red cell bud/germ,"" referring to immature red blood cells.",Claude,Greek,The bone marrow biopsy showed increased _______ production in response to the patient's anemia.,Claude,"Remember ""ERYTHRO-blast"" - think ""erythro"" (red) + ""blast"" (explosion/burst), meaning bursting with red cells that will become red blood cells, or ""erythroblast"" like ""red-blast"" of developing blood cells.",3,3,3,3,,,,False,True,False,,False,
erythroblastesau,2024,2024 Words of the Champions.pdf,Three Bee,"This appears to be a combined word error from PDF parsing. It likely represents two separate words: ""erythroblast"" (an immature red blood cell) and ""Esau"" (a biblical figure). This combination does not form a valid English word.",error,N/A - invalid combination,,PDF parsing error - combination of unrelated terms,Claude,Error,N/A - This is not a valid word,Claude,"N/A - This is a parsing error, not a real word",3,3,3,3,,,,False,True,False,,True,"Combined word error: ""erythroblastesau"" appears to be ""erythroblast"" + ""esau"" merged together. This is likely a PDF parsing error where two separate words were incorrectly combined."
esau,2023; 2025,2023_Words_of_the_Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,"Esau is a biblical figure from the Hebrew Bible and Christian Old Testament, known as the twin brother of Jacob and the son of Isaac and Rebecca. According to the biblical narrative, Esau was born first, making him the heir to his father's birthright, but he famously sold this birthright to Jacob for a bowl of lentil stew when he was hungry. Esau is described as a skilled hunter and outdoorsman, in contrast to his brother Jacob who was more domestically inclined. The rivalry between Esau and Jacob represents themes of sibling conflict, divine election, and the consequences of impulsive decisions. Esau is traditionally considered the ancestor of the Edomites, while Jacob (later renamed Israel) became the ancestor of the Israelites. The story appears in the Book of Genesis and has been interpreted in various ways throughout Jewish, Christian, and Islamic traditions. Understanding Esau's story helps comprehend ancient Near Eastern family dynamics and religious themes about destiny and divine purpose.",proper noun,EE-saw,,"From Hebrew ""Esav,"" possibly meaning ""hairy"" or ""rough,"" referring to his physical appearance at birth as described in Genesis.",Claude,Hebrew,The biblical story tells how _______ traded his birthright for a bowl of stew.,Claude,"Remember ""E-sau"" - think ""he-saw"" because Esau saw the stew and wanted it so much he traded his birthright, or ""Esau"" sounds like ""he-saw"" his brother Jacob take advantage of him.",3,3,3,3,,,,False,True,False,,False,
escabeche,2020; 2021; 2022,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf,One Bee; Two Bee,"Escabeche is a traditional cooking technique and dish from Spanish and Latin American cuisine involving fish, seafood, or sometimes vegetables that are first cooked (usually fried) and then marinated in an acidic mixture typically containing vinegar, citrus juice, olive oil, and aromatic vegetables like onions, carrots, and peppers. This preservation method combines cooking with acidic marination to create flavorful dishes that can be stored for extended periods. The acid in the marinade helps preserve the food while infusing it with complex flavors from herbs and spices such as bay leaves, peppercorns, and paprika. Escabeche can be served immediately while warm or allowed to marinate for hours or days, developing deeper flavors over time. Different regional variations exist throughout Spain, Latin America, and the Philippines, each with characteristic ingredients and preparation methods. The technique demonstrates historical methods of food preservation and flavor enhancement before refrigeration. Understanding escabeche helps appreciate culinary traditions that combine practical preservation with sophisticated flavor development.",noun,es-kah-BEH-cheh,,"From Spanish ""escabeche,"" possibly from Arabic ""sikbaj,"" referring to a vinegar-based marinade, reflecting Moorish influence on Spanish cuisine.",Claude,"Arabic, Spanish",The chef prepared a delicious _______ with fresh sardines marinated in vinegar and aromatic vegetables.,Claude,"Remember ""esca-BECHE"" - think ""escape-beche"" because the fish escapes spoilage through this preservation method, or ""escabeche"" sounds like ""escape-beach"" meaning fish escape the beach into vinegar.",3,3,3,3,,,,False,True,False,,False,
escalator,2020; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"An escalator is a moving staircase consisting of an endless chain of steps that transport people between different floors or levels of a building. This mechanical device features motor-driven steps that continuously circulate, allowing passengers to stand still while being carried upward or downward. Escalators typically include handrails that move at the same speed as the steps, safety features like emergency stop buttons, and sensors to detect obstructions. They are commonly found in shopping malls, airports, subway stations, office buildings, and other public spaces where large numbers of people need to move between levels efficiently. Escalators offer advantages over elevators for moderate height differences by providing continuous flow without waiting times. Safety considerations include proper positioning of feet, holding handrails, and awareness of the top and bottom transition areas. The invention of escalators revolutionized building design and urban transportation. Understanding escalator mechanics and safety helps people use them effectively and appreciate their role in modern architecture and public transportation.",noun,ES-kuh-lay-ter,,"From ""escalate"" (from Latin ""scala"" meaning ""ladder, staircase"") + ""-or"" (agent suffix), literally meaning ""that which causes to escalate/climb.""",Claude,Latin,The busy shopping mall installed a new _______ to help customers reach the upper floors more easily.,Claude,"Remember ""ESCA-lator"" - think ""escalate-ator"" meaning something that makes you escalate/go up, or ""escalator"" sounds like ""escalate-later"" meaning you escalate without effort later.",3,3,3,3,,,,False,True,False,,False,
escalatorimpasto,2021,2021_Printable_Words of the Champions.pdf,One Bee,"This appears to be a combined word error from PDF parsing. It likely represents two separate words: ""escalator"" (a moving staircase) and ""impasto"" (a painting technique using thick paint). This combination does not form a valid English word.",error,N/A - invalid combination,,PDF parsing error - combination of unrelated terms,Claude,Error,N/A - This is not a valid word,Claude,"N/A - This is a parsing error, not a real word",3,3,3,3,,,,False,True,False,,True,"Combined word error: ""escalatorimpasto"" appears to be ""escalator"" + ""impasto"" merged together. This is likely a PDF parsing error where two separate words were incorrectly combined."
escapade,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,"An escapade is an adventurous, daring, or unconventional action or incident, often involving some degree of mischief, excitement, or reckless behavior. These activities typically represent departures from normal, responsible conduct and often include elements of risk, spontaneity, or rebellion against conventional expectations. Escapades can range from harmless pranks and spontaneous adventures to more serious acts of misconduct or rebellion. Young people particularly engage in escapades as part of testing boundaries and asserting independence. The term often carries a somewhat playful or romantic connotation, suggesting that while the behavior might be inadvisable, it's also exciting or memorable. Literary and cinematic traditions frequently feature escapades as plot devices that reveal character traits or drive narrative development. Escapades can be solitary adventures or group activities that bond participants through shared experiences. Understanding escapades helps recognize the human need for excitement, adventure, and occasional departure from routine responsibilities.",noun,ES-kuh-payd,,"From French ""escapade,"" from Spanish ""escapada,"" from ""escapar"" (to escape), ultimately from Vulgar Latin ""excappare"" (to get out of one's cape).",Claude,"Latin, Spanish, French",Their midnight _______ to the beach resulted in both adventure and trouble with their parents.,Claude,"Remember ""ESCA-pade"" - think ""escape-ade"" like a parade of escaping/adventure, or ""escapade"" sounds like ""escape-aid"" meaning an aid to escaping boring routine.",3,3,3,3,,,,False,True,False,,False,
escape,2020,2020 Words_of_the_Champions.pdf,One Bee,"To escape means to break free from confinement, control, or danger, or to avoid an unpleasant or threatening situation. This fundamental verb encompasses various forms of liberation: physical escape from imprisonment or dangerous situations, psychological escape from stress or emotional pain, or creative escape through imagination and entertainment. Escape can be planned and deliberate (escape routes, escape plans) or spontaneous and reactive (escape from immediate danger). The concept extends to avoiding consequences, responsibilities, or unwanted attention. Entertainment industries rely on providing escape from daily routines through movies, books, games, and other diversions. Natural phenomena can also escape, such as gas escaping from containers or water escaping through leaks. Digital contexts include data escaping security systems or characters escaping in computer programming. Understanding different types of escape helps people recognize both literal and metaphorical forms of freedom and avoidance. The concept reflects fundamental human desires for autonomy and relief from constraints.","verb, noun",ih-SKAYP,,"From Old French ""eschaper,"" from Vulgar Latin ""excappare"" meaning ""to get out of one's cape,"" from ""ex-"" (out of) + ""cappa"" (cape).",Claude,"Latin, Old French",The prisoners planned to _______ through a tunnel they had been digging for months.,Claude,"Remember ""e-SCAPE"" - think ""e"" (out) + ""scape"" (landscape), meaning getting out of the landscape/situation, or ""escape"" like taking off a cape to get away.",3,3,3,3,,,,False,True,False,,False,
escarole,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Escarole is a variety of endive (Cichorium endivia) characterized by broad, slightly bitter leaves that are often used in salads and cooking. This leafy green vegetable has a distinctive slightly bitter taste that becomes milder when cooked. Escarole leaves are typically pale green to white in the center with darker green outer leaves, forming loose, open heads rather than the tight balls of lettuce or cabbage. The vegetable is popular in Mediterranean cuisine, particularly Italian cooking, where it's often sautéed with garlic and olive oil or added to soups and stews. Escarole is nutritious, providing vitamins A, C, and K, along with folate and fiber. It's commonly available in grocery stores and farmers' markets, particularly during cooler months when it grows best. The slightly bitter flavor profile makes escarole appealing to those who enjoy complex, sophisticated tastes in their vegetables. Understanding escarole helps expand culinary knowledge and appreciation for diverse leafy greens beyond common lettuce varieties.",noun,ES-kuh-rohl,,"From French ""escarole,"" from Italian ""scarola,"" ultimately from Latin ""escarius"" (relating to food), related to ""esca"" (food).",Claude,"Latin, Italian, French",The Italian chef sautéed fresh _______ with white beans and garlic for a traditional side dish.,Claude,"Remember ""ESCA-role"" - think ""esca"" (food) + ""role"" meaning it plays a role in food, or ""escarole"" sounds like ""escalate-role"" because it escalates the role of greens in cooking.",3,3,3,3,,,,False,True,False,,False,
escarpment,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"An escarpment is a steep slope or cliff that separates two relatively level areas of differing elevations, typically formed through geological processes such as erosion, faulting, or differential weathering. These prominent landscape features create dramatic transitions between higher and lower terrain, often forming natural boundaries or barriers. Escarpments can result from various geological activities: fault escarpments form when tectonic forces cause vertical displacement of rock layers, while erosional escarpments develop when resistant rock layers protect underlying softer materials from weathering. Famous examples include the Niagara Escarpment in North America and various escarpments in Africa and Australia. These formations significantly influence local climate, vegetation patterns, and human settlement patterns. Escarpments often provide scenic vistas and can create microclimates due to elevation differences. Understanding escarpments helps appreciate landscape formation, geological history, and the relationship between geological processes and surface features. They represent important geographical features for navigation, land use planning, and natural resource management.",noun,ih-SKARP-muhnt,,"From French ""escarpement,"" from ""escarper"" (to cut steeply), from Italian ""scarpa"" (slope), possibly from Germanic origin meaning ""sharp cutting.""",Claude,"Germanic, Italian, French",The hiking trail followed the edge of the dramatic _______ that offered stunning views of the valley below.,Claude,"Remember ""e-SCARP-ment"" - think ""e"" (out) + ""scarp"" (sharp/steep) + ""ment"" (result), meaning the result of sharp cutting out of landscape, or ""escarpment"" like ""escape-ment"" because it's a steep escape route up or down.",3,3,3,3,,,,False,True,False,,False,
escheator,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"An escheator is a historical legal official responsible for administering escheat, the process by which property reverts to the crown or state when the owner dies without legal heirs or when property is forfeited due to certain legal violations. This medieval administrative position involved identifying, securing, and managing properties that had no rightful private ownership according to feudal law. Escheators investigated inheritance claims, determined when properties should revert to royal control, and managed these properties until disposition. The role required knowledge of inheritance law, property rights, and genealogical research to verify legitimate heirs. In the feudal system, escheat was an important mechanism for preventing land from becoming permanently unavailable or unproductive. Modern legal systems have simplified inheritance procedures, but the concept of escheat still exists in laws governing unclaimed property and estates without heirs. Understanding escheators helps appreciate historical legal systems and the evolution of property rights. The position demonstrates how medieval societies managed complex property inheritance issues.",noun,es-CHEE-ter,,"From Anglo-French ""eschetour,"" from ""escheat"" (reversion of property), from Old French ""escheoir"" (to fall to), from Latin ""excadere"" (to fall out).",Claude,"Latin, Old French, Anglo-French",The medieval _______ was responsible for determining which properties should revert to the crown.,Claude,"Remember ""e-SCHEAT-or"" - think ""e"" (out) + ""cheat"" + ""or"" (person), meaning a person who deals with property that ""cheats"" death by going to the state, or ""escheator"" handles properties that ""escheat"" (revert) to the government.",3,3,3,3,,,,False,True,False,,False,
eschew,2020; 2021; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee,"To eschew means to deliberately avoid, abstain from, or reject something, particularly behaviors, practices, or associations that one considers morally wrong, harmful, or undesirable. This formal verb suggests conscious choice and principled rejection rather than simple avoidance due to preference or convenience. People might eschew certain foods for health reasons, eschew violence as a matter of principle, or eschew social media to protect their privacy. The term often appears in discussions of ethics, lifestyle choices, and personal values where individuals make deliberate decisions to reject common practices. Eschewing typically involves some degree of sacrifice or inconvenience, as it often means giving up something that might be beneficial in some ways but conflicts with one's principles or goals. The word carries connotations of moral strength and purposeful decision-making. Understanding eschew helps express deliberate choices to avoid or reject rather than simple dislike or accidental avoidance.",verb,es-CHOO,,"From Old French ""eschiver"" meaning ""to avoid, shun,"" possibly from Germanic origin related to ""shy"" and ""skew.""",Claude,"Germanic, Old French",The health-conscious family decided to _______ processed foods and cook all meals from fresh ingredients.,Claude,"Remember ""e-SCHEW"" - think ""e"" (away) + ""chew"" meaning to chew away from/avoid something, or ""eschew"" sounds like ""eh-shoo"" meaning shooing something away.",3,3,3,3,,,,False,True,False,,False,
esclandre,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,"Esclandre is a French term referring to a public scandal, disturbance, or outrageous incident that causes shock, embarrassment, or social disruption. This word describes situations where someone's behavior creates a scene or causes public controversy, often involving dramatic displays of emotion, conflict, or impropriety that attract unwanted attention. An esclandre typically occurs in social settings where the disruptive behavior contrasts sharply with expected norms of propriety and decorum. The term suggests both the incident itself and the social consequences that follow, including damage to reputation and relationships. Esclandres can result from various causes: emotional outbursts, public arguments, scandalous revelations, or inappropriate behavior at formal events. The concept is particularly relevant in contexts where social standing and public image are important. Understanding esclandre helps appreciate how public behavior affects social dynamics and reputation. The term reflects cultural values about appropriate conduct and the social costs of violating behavioral expectations.",noun,es-KLAHN-druh,,"From French ""esclandre,"" from Old French ""escandle,"" from Latin ""scandalum"" (stumbling block, scandal), from Greek ""skandalon"" (trap, snare).",Claude,"Greek, Latin, French",The diplomat's angry outburst at the formal dinner created an _______ that embarrassed both countries.,Claude,"Remember ""e-SCLANDRE"" - think ""e"" (out) + ""scandal"" + ""re"" (again), meaning a scandal that comes out again and again, or ""esclandre"" sounds like ""escalate-scandal"" meaning a scandal that escalates publicly.",3,3,3,3,,,,False,True,False,,False,
escorts,2024,2024 Words of the Champions.pdf,Three Bee,"Escorts can refer to people who accompany others for social, professional, or protective purposes, or to the act of accompanying someone to provide guidance, protection, or companionship. In legitimate contexts, escorts might include security personnel who accompany dignitaries, social companions who attend events with clients, or guides who escort tourists through unfamiliar areas. Military escorts provide protection for convoys, VIPs, or prisoners. The term can also refer to naval vessels that protect other ships during transit. Professional escort services operate in various legal frameworks depending on jurisdiction, with clear distinctions between companionship services and other activities. Understanding different types of escort services helps distinguish between legitimate professional services and illegal activities. The concept emphasizes the role of accompaniment, protection, and guidance in various social and professional contexts. Context determines whether escort services are part of security, hospitality, tourism, or other legitimate business activities.","noun (plural), verb",es-KAWRTS,,"From French ""escorte,"" from Italian ""scorta"" (guide, guard), from ""scorgere"" (to guide), from Latin ""ex-"" (out) + ""corrigere"" (to set right).",Claude,"Latin, Italian, French",The naval _______ protected the merchant vessels during their passage through dangerous waters.,Claude,"Remember ""e-SCORTS"" - think ""e"" (out) + ""courts"" meaning taking someone out of court/safely, or ""escorts"" like ""he-sorts"" meaning someone sorts out/guides your journey.",3,3,3,3,,,,False,True,False,,False,
