word,years,source_files,source_difficulties,definition,pronunciation,example_sentence,etymology,memory_tips,part_of_speech,phonetic_transparency_score,word_frequency_score,morphological_complexity_score,etymology_complexity_score,difficulty_level,definition_source,pronunciation_source,etymology_source,example_sentence_source
tristeza,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"A Spanish and Portuguese word meaning 'sadness' or 'sorrow'; a plant disease affecting citrus trees, particularly grapefruit and sweet orange. In emotional contexts, tristeza describes deep sadness, melancholy, or grief. Agriculturally, tristeza is a viral disease that causes citrus trees to decline, yellow, and die, transmitted by aphids. The disease has caused significant economic losses in citrus-growing regions worldwide. Resistant rootstocks and disease management practices help control tristeza in commercial citrus production. The dual meaning reflects the sadness associated with crop losses from this devastating plant virus.","/trɪsˈtesə/ (Spanish), /trisˈtezɐ/ (Portuguese)",The citrus grower implemented strict measures to prevent _____ virus from destroying the orange groves.,"From Spanish/Portuguese 'tristeza,' from Latin 'tristitia' (sadness), applied to citrus disease due to tree decline.","[""Think 'SADNESS in Spanish' or 'citrus DISEASE' - emotion or plant virus"", ""Remember 'citrus trees dying' for agricultural context"", ""Connect to 'triste' for related sadness vocabulary""]",noun (Spanish/Portuguese),1.0,2.5,2.0,1.8,,Claude,Claude,Claude,Claude
triton,2020,2020 Words_of_the_Champions.pdf,One Bee,"In Greek mythology, a sea god with a human upper body and fish tail, son of Poseidon and Amphitrite; any of various large marine gastropod mollusks with spiral shells. Mythological tritons served as Poseidon's messengers and trumpet players, using conch shells to calm or raise storms. The shells of triton mollusks were historically used as horns in various Pacific cultures. These large sea snails are prized by collectors for their beautiful spiral shells. Nuclear physics uses 'triton' for the nucleus of tritium, a hydrogen isotope with one proton and two neutrons.",/ˈtraɪtən/,The museum displayed a magnificent _____ shell that ancient Polynesian cultures used as a ceremonial horn.,"From Greek 'Triton,' name of the sea god, later applied to similar mythological beings and related sea creatures.","[""Think 'sea GOD with fish tail' or 'large CONCH shell' - mythology or mollusk"", ""Remember 'Poseidon's son' for Greek mythological context"", ""Connect to 'mermaid' for similar human-fish hybrid creature""]",noun,1.0,2.0,2.0,2.3,,Claude,Claude,Claude,Claude
trituration,2021; 2022; 2023; 2024,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,One Bee; Three Bee; Two Bee,"The process of grinding, crushing, or rubbing a substance into fine powder or particles; in pharmacy, the mixing of drugs with inert powders to reduce potency or improve handling. Pharmaceutical trituration involves grinding tablets, crystals, or other solid medications into uniform powders for easier dosing, mixing, or absorption. Laboratory trituration prepares samples for analysis by creating homogeneous powders. Traditional medicine uses trituration for preparing herbal powders and medicinal compounds. The process requires careful technique to achieve uniform particle size and avoid contamination.",/ˌtrɪtʃəˈreɪʃən/,The pharmacist performed _____ to reduce the strength of the medication for pediatric patients.,"From Latin 'trituratio,' from 'triturare' (to thresh, grind), from 'tritum' (ground, rubbed).","[""Think 'GRINDING to powder' - crushing substances into fine particles"", ""Remember 'pharmacy technique' for medication preparation"", ""Connect to 'pulverize' for similar grinding action""]",noun,1.5,3.5,4.0,1.8,,Claude,Claude,Claude,Claude
triumph,2025,2025 Words of Champion _1_.pdf,Three Bee,"A great victory or achievement; the feeling of joy and satisfaction following success; in ancient Rome, a ceremonial procession celebrating military victory. Modern usage describes personal accomplishments, competitive victories, or overcoming significant challenges. The emotion of triumph combines relief, pride, and celebration after achieving difficult goals. Historical Roman triumphs were elaborate public celebrations honoring successful generals returning from war. The word emphasizes not just winning but the magnitude and significance of the victory achieved through effort, skill, or perseverance.",/ˈtraɪəmf/,"The team's victory in the championship was a _____ of teamwork, dedication, and strategic planning.","From Latin 'triumphus,' referring to Roman ceremonial processions celebrating military victories.","[""Think 'great VICTORY' - significant success or achievement"", ""Remember 'Roman procession' for historical ceremonial context"", ""Connect to 'celebration' for joy following major accomplishment""]","noun, verb",1.5,2.5,2.0,1.8,,Claude,Claude,Claude,Claude
triumphant,2020; 2021; 2022; 2023; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,One Bee; Three Bee; Two Bee,"Feeling or expressing great joy and satisfaction at success or victory; characterized by or celebrating triumph. Describes the emotional state and outward expression following significant achievements, competitions, or overcoming obstacles. Can describe individuals, teams, or groups that have achieved notable victories. The word implies not just success but visible celebration, pride, and satisfaction in accomplishment. Often used to describe winners in competitions, successful completion of difficult projects, or overcoming personal challenges with evident joy and satisfaction.",/traɪˈʌmfənt/,The _____ athlete raised her arms in celebration after breaking the world record.,"From Latin 'triumphant-' (celebrating victory), from 'triumphare' (to celebrate a triumph).","[""Think 'TRIUMPH-ANT' - showing triumph or celebrating victory"", ""Remember 'victory celebration' for joyful expression of success"", ""Connect to 'victorious' for similar winning, successful state""]",adjective,1.5,3.0,3.0,1.8,,Claude,Claude,Claude,Claude
trivia,2020; 2021; 2022; 2023,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,One Bee; Two Bee,"Details, considerations, or pieces of information of little importance or value; questions and answers about obscure facts used in games or competitions. Modern trivia contests test knowledge of random facts across various subjects including history, entertainment, sports, and science. The word originally meant 'trifling matters' but has evolved to describe factual information that, while interesting, may not be practically important. Bar trivia, quiz shows, and trivia games have made the pursuit of obscure knowledge a popular entertainment form. Academic contexts may use trivia to describe minor details versus major concepts.",/ˈtrɪviə/,The quiz night featured challenging _____ questions about 1980s movies and historical dates.,"From Latin 'trivia,' meaning 'three roads' (crossroads), extended to mean 'commonplace, ordinary matters.'","[""Think 'random FACTS' - obscure or unimportant information"", ""Remember 'quiz games' for trivia contests and competitions"", ""Connect to 'trivial' for matters of little importance""]",noun,1.0,1.0,2.0,2.1,,Claude,Claude,Claude,Claude
trochee,2021; 2022; 2023; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"A metrical foot in poetry consisting of a stressed syllable followed by an unstressed syllable, the opposite of an iamb. Common in poetry and songs, trochees create a strong, rhythmic pattern that can sound forceful or memorable. Examples include words like 'happy,' 'freedom,' and 'trouble.' Poetry using trochaic meter includes Edgar Allan Poe's 'The Raven' and many nursery rhymes. The trochee's falling rhythm contrasts with the rising rhythm of iambic meter, creating different emotional effects in verse. Understanding trochaic patterns helps in analyzing poetic rhythm and meter.",/ˈtroʊki/,"The poem's opening line featured a _____ pattern that gave it a strong, memorable rhythm.","From Greek 'trochaios' (running), from 'trechein' (to run), referring to the quick, running rhythm.","[""Think 'STRESSED-unstressed' pattern - strong syllable followed by weak"", ""Remember 'TROE-chee' is itself a trochee pattern"", ""Connect to 'The Raven' for famous trochaic poetry example""]",noun,1.0,2.5,1.0,2.3,,Claude,Claude,Claude,Claude
trocheetrompe,2024,2024 Words of the Champions.pdf,Three Bee,"ERROR: This appears to be a combined word error. Should likely be separated into 'trochee' (poetic meter pattern) and 'trompe' (as in 'trompe-l'oeil,' visual illusion art). 'Trochee' refers to a stressed-unstressed syllable pattern in poetry, while 'trompe' relates to visual deception techniques in art. These represent completely different concepts from literature and visual arts that have been incorrectly merged in the source data.",ERROR: Combined word - check source data,ERROR: This appears to be two separate words incorrectly combined.,ERROR: Combined word requiring separation and individual analysis.,"[""ERROR: This appears to be 'trochee' + 'trompe' combined"", ""Review source data for proper word separation"", ""Check for data processing errors in original documents""]",ERROR: Combined word,1.0,4.0,2.0,1.0,,Claude,Claude,Claude,Claude
trodden,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,"Past participle of 'tread,' meaning walked on, trampled, or stepped upon; crushed or pressed down by walking or heavy pressure. Describes paths, grass, or surfaces that show evidence of foot traffic or repeated stepping. Can refer to metaphorical situations where someone feels oppressed, dominated, or treated with disrespect. Well-trodden paths indicate frequent use by pedestrians or animals. The word suggests wear, compression, or degradation resulting from repeated foot pressure or figurative oppression.",/ˈtrɑdən/,The _____ grass showed the route that countless visitors had taken to reach the scenic overlook.,"Past participle of 'tread,' from Old English 'tredan' (to step, walk), meaning 'having been stepped upon.'","[""Think past tense of 'TREAD' - already stepped on or walked over"", ""Remember 'worn path' for frequently traveled route"", ""Connect to 'trampled' for crushed by foot traffic""]","verb (past participle), adjective",1.2,2.5,1.0,1.3,,Claude,Claude,Claude,Claude
troll,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"In Scandinavian folklore, a supernatural being dwelling in mountains, caves, or under bridges; to fish by trailing bait from a moving boat; on the internet, someone who deliberately provokes others with inflammatory comments. Mythological trolls are often depicted as large, ugly creatures who turn to stone in sunlight. Fishing trolling involves moving slowly while lines drag behind the boat. Internet trolling describes posting provocative content to elicit angry responses from other users. The word has evolved from folklore to describe various forms of fishing and online behavior.",/troʊl/,The fisherman decided to _____ for salmon in the early morning hours when fish were most active.,"From Old Norse 'troll' (giant, demon), extended to fishing technique and modern internet behavior.","[""Think 'folklore MONSTER,' 'fishing METHOD,' or 'internet PROVOCATEUR'"", ""Remember 'under bridge' for classic troll fairy tale location"", ""Connect to 'provoke' for internet trolling behavior""]","noun, verb",1.2,1.0,1.0,1.3,,Claude,Claude,Claude,Claude
trombone,2020,2020 Words_of_the_Champions.pdf,One Bee,"A brass musical instrument with a telescoping slide mechanism that changes pitch by altering the length of tubing. Known for its distinctive glissando capability and rich, powerful tone, the trombone plays important roles in orchestras, jazz bands, marching bands, and concert bands. The slide mechanism allows for smooth pitch transitions impossible on valved brass instruments. Different sizes include alto, tenor, and bass trombones, each with distinct tonal characteristics. Proper trombone technique requires precise slide positions, breath control, and embouchure development for accurate intonation.",/trɑmˈboʊn/,The jazz musician's _____ solo featured impressive glissandos that showcased the instrument's unique capabilities.,"From Italian 'trombone,' augmentative of 'tromba' (trumpet), literally meaning 'large trumpet.'","[""Think 'SLIDING brass instrument' - trumpet-like with telescoping slide"", ""Remember 'glissando' for smooth sliding pitch changes"", ""Connect to 'jazz band' for prominent trombone musical context""]",noun,1.8,1.0,1.0,1.8,,Claude,Claude,Claude,Claude
trompe,2020; 2021; 2022; 2023; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Short for 'trompe-l'oeil,' a French term meaning 'deceive the eye'; an art technique that uses realistic imagery to create optical illusions making painted objects appear three-dimensional. This sophisticated painting method creates convincing illusions of architectural elements, objects, or spaces that don't actually exist. Famous examples include ceiling frescoes that appear to open to sky or painted doors and windows that look real. Modern applications include murals, theater sets, and architectural decoration. The technique requires mastery of perspective, lighting, and realistic detail to successfully deceive viewers.",/trɔmp/,The artist's _____ mural made the flat wall appear to have actual windows and architectural details.,"From French 'trompe-l'oeil,' literally 'deceive the eye,' from 'tromper' (to deceive) + 'l'oeil' (the eye).","[""Think 'DECEIVE the eye' - art that creates realistic optical illusions"", ""Remember 'wall painting' that looks three-dimensional"", ""Connect to 'optical illusion' for visual deception technique""]",noun,1.0,2.0,1.0,1.8,,Claude,Claude,Claude,Claude
troop,2025,2025 Words of Champion _1_.pdf,Three Bee,"A group of soldiers, scouts, or other organized people; a group of animals, especially primates; to move or gather in large numbers. Military troops form basic organizational units within larger forces. Scout troops organize youth activities and outdoor education. Animal troops, particularly monkey troops, exhibit complex social behaviors and hierarchies. As a verb, describes mass movement or gathering, often with purposeful direction. The word emphasizes collective action, organization, and movement in groups rather than individual behavior.",/trup/,The scout _____ organized a camping trip to teach wilderness survival skills to local youth.,"From French 'troupe,' from Germanic origin, meaning 'band, company, crowd.'","[""Think 'organized GROUP' - soldiers, scouts, or animals moving together"", ""Remember 'Boy Scout troop' for youth organization example"", ""Connect to 'gather' for collective movement or assembly""]","noun, verb",1.0,1.0,1.0,1.8,,Claude,Claude,Claude,Claude
trope,2020; 2021; 2022,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf,One Bee; Two Bee,"A figurative or metaphorical use of language; a common theme, device, or motif in literature, film, or other media that becomes recognizable through frequent use. Literary tropes include metaphors, similes, irony, and allegory that create meaning beyond literal interpretation. Modern usage describes recurring plot elements, character types, or situations that appear across multiple works. Some tropes become clichéd through overuse, while others remain effective storytelling tools. Understanding tropes helps in analyzing literature, film, and media for deeper meaning and cultural patterns.",/troʊp/,The 'chosen one' _____ appears in countless fantasy novels and movies as a central plot element.,"From Greek 'tropos' (turn, way, manner), referring to a turn of phrase or figurative expression.","[""Think 'common THEME' - recurring plot device or literary pattern"", ""Remember 'metaphor' for figurative language use"", ""Connect to 'clich\u00e9' for overused narrative elements""]",noun,1.0,2.0,1.0,2.3,,Claude,Claude,Claude,Claude
trophic,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,"Relating to nutrition or feeding; describing the feeding relationships and energy flow in ecological systems. Trophic levels organize organisms by their position in food chains, from primary producers (plants) through various consumer levels to apex predators. Trophic cascades describe how changes at one level affect other levels throughout the ecosystem. Medical contexts use trophic to describe tissue nutrition and growth factors. Understanding trophic relationships is fundamental to ecology, conservation biology, and ecosystem management.",/ˈtroʊfɪk/,The marine biologist studied _____ relationships to understand how overfishing affected the entire ecosystem.,"From Greek 'trophikos' (nourishing), from 'trophe' (food, nourishment), relating to feeding and nutrition.","[""Think 'FEEDING relationships' - nutrition and energy flow in ecosystems"", ""Remember 'food chain levels' for trophic organization"", ""Connect to 'trophy' for similar Greek root but different meaning""]",adjective,1.5,2.5,2.0,1.8,,Claude,Claude,Claude,Claude
trophy,2021,2021_Printable_Words of the Champions.pdf,One Bee,"An award or prize given for victory or achievement in competition; an object kept as a reminder of success or conquest. Sports trophies recognize athletic achievements, while academic trophies honor scholarly accomplishments. Historical context includes war trophies taken from defeated enemies. Hunting trophies commemorate successful hunts, though this practice faces increasing ethical scrutiny. Modern trophy design ranges from traditional cups and plaques to creative custom awards. The psychological value of trophies lies in their role as tangible symbols of accomplishment and recognition.",/ˈtroʊfi/,The championship _____ held a place of honor in the school's display case.,"From Greek 'tropaion' (monument of victory), from 'trope' (a turning, rout of enemies).","[""Think 'victory AWARD' - prize for winning competition or achievement"", ""Remember 'championship cup' for sports competition recognition"", ""Connect to 'triumph' for celebration of success""]",noun,1.5,1.0,1.0,2.3,,Claude,Claude,Claude,Claude
tropical,2020; 2021; 2022; 2023; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,One Bee; Three Bee; Two Bee,"Relating to or characteristic of the tropics, the region between the Tropic of Cancer and Tropic of Capricorn; having a hot, humid climate typical of equatorial regions. Tropical climates feature high temperatures, seasonal rainfall patterns, and distinctive ecosystems including rainforests, coral reefs, and unique wildlife. Tropical diseases affect populations in these regions, while tropical agriculture produces crops like coffee, bananas, and spices. Weather systems include tropical storms and hurricanes. The word evokes images of palm trees, beaches, and exotic destinations popular in tourism.",/ˈtrɑpɪkəl/,The _____ rainforest supported incredible biodiversity with thousands of unique plant and animal species.,"From Latin 'tropicus,' from Greek 'tropikos' (of a turn), referring to the sun's turning points at solstices.","[""Think 'hot and HUMID climate' - equatorial regions with warm weather"", ""Remember 'rainforest' for tropical ecosystem example"", ""Connect to 'vacation paradise' for tropical tourism destinations""]",adjective,1.0,1.0,2.0,1.8,,Claude,Claude,Claude,Claude
trotteur,2025,2025 Words of Champion _1_.pdf,Three Bee,"A French term for a horse trained for trotting; a type of women's shoe with a low heel designed for walking; someone who trots or walks quickly. In equestrian contexts, describes horses specifically bred and trained for harness racing at a trotting gait. The shoe style emerged in early 20th century fashion as practical footwear for active women. Modern usage may describe anyone who moves at a brisk trotting pace. The term reflects French influence in both equestrian sports and fashion history.","/trɔˈtœr/ (French), /ˈtrɑtər/ (English)",She chose comfortable _____ shoes for the long walking tour through the historic city.,"From French 'trotteur,' from 'trotter' (to trot), meaning 'one who trots.'","[""Think 'TROTTING horse' or 'walking SHOE' - equestrian or fashion context"", ""Remember 'low-heeled shoe' for practical women's footwear"", ""Connect to 'trotter' for horse that moves at trotting gait""]",noun,1.2,2.5,1.0,1.8,,Claude,Claude,Claude,Claude
trough,2021,2021_Printable_Words of the Champions.pdf,One Bee,"A long, narrow container for holding water or food for animals; a low point between waves or hills; a period of low activity or achievement. Farm troughs provide drinking water for livestock, while feeding troughs hold grain or other animal food. Weather systems create atmospheric troughs associated with low pressure and stormy conditions. Economic troughs represent the lowest points in business cycles before recovery begins. The word emphasizes elongated, depressed shapes that collect or channel substances.",/trɔf/,The farmer filled the water _____ twice daily to ensure the cattle had adequate drinking water.,"From Old English 'trog,' related to Germanic words for hollow vessel or container.","[""Think 'animal WATER container' - long, narrow feeding/watering vessel"", ""Remember 'low point' between waves or in business cycles"", ""Connect to 'valley' for depression between higher areas""]",noun,2.5,1.0,1.0,2.3,,Claude,Claude,Claude,Claude
trounce,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"To defeat decisively or thoroughly; to beat soundly in competition or conflict. Implies overwhelming victory with significant margin of difference between winner and loser. Sports contexts describe teams that trounce opponents through superior skill, strategy, or performance. Academic or professional competitions may involve trouncing when one participant clearly outperforms others. The word suggests not just winning but dominating the competition completely. Often used when describing unexpected or impressive victories that leave no doubt about the superior party.",/traʊns/,The debate team managed to _____ their rivals with well-researched arguments and superior presentation skills.,"Origin uncertain, possibly from dialectal English, meaning 'to beat thoroughly or punish severely.'","[""Think 'DEFEAT decisively' - overwhelming victory with large margin"", ""Remember 'beat soundly' for thorough competitive domination"", ""Connect to 'demolish' for complete victory over opponents""]",verb,1.0,2.5,1.0,1.3,,Claude,Claude,Claude,Claude
trous,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,"A French word meaning 'holes'; plural of 'trou' (hole). Used in various contexts including geology, medicine, and everyday language to describe openings, gaps, or hollow spaces. In fashion, may refer to distressed clothing with deliberate holes. Geological contexts describe natural holes or cavities in rock formations. The word appears in French expressions and may be encountered in English texts dealing with French subjects or in areas with French linguistic influence.",/tru/ (French),The geologist examined the _____ in the limestone cliff to understand the cave formation process.,"French plural of 'trou' (hole), from Latin 'foramen' through Vulgar Latin development.","[""Think 'HOLES in French' - plural form of openings or gaps"", ""Remember 'cave openings' for geological context"", ""Connect to 'perforations' for multiple holes or openings""]",noun (French),1.5,2.0,2.0,2.1,,Claude,Claude,Claude,Claude
trousers,2025,2025 Words of Champion _1_.pdf,Three Bee,"A garment covering the body from the waist to the ankles, with separate sections for each leg; pants. British English primarily uses 'trousers' while American English favors 'pants.' Various styles include dress trousers, casual pants, jeans, and specialized work trousers. Materials range from cotton and wool to synthetic blends designed for specific purposes. Historical development shows trousers evolving from practical workwear to formal attire suitable for various social and professional contexts. Modern trouser design considers comfort, durability, and fashion trends.",/ˈtraʊzərz/,He selected dark wool _____ to complete his professional business outfit for the important meeting.,"From Irish 'triubhas' or Scottish Gaelic 'triubhas' (close-fitting shorts), entering English via military contexts.","[""Think 'leg COVERING clothing' - pants or long leg garments"", ""Remember 'British for pants' - UK term for leg-covering clothing"", ""Connect to 'business attire' for formal trouser context""]",noun (plural),1.5,1.0,1.0,1.6,,Claude,Claude,Claude,Claude
